Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
0.0455017,-1.60059,3.7793,0.0507341,-1.5634,3.91687,0.0647748,-1.25474,4.03493,0.0894937,-0.794489,4.28844,0.213135,-1.70215,4.14063,0.213629,-1.64504,4.25682,0.248322,-1.3132,4.26147,0.254922,-0.786847,4.25706,0.173692,-0.797505,4.30969,0.178228,-0.496722,4.37355,0.182193,-0.199274,4.42413,0.182952,-0.0456128,4.47106,-0.0146234,-0.331493,4.43376,0.349832,-0.314478,4.375,0.160669,0.617484,0.774856,0.168552
0.0463562,-1.58691,3.69336,0.0513013,-1.56774,3.8213,0.0637771,-1.26373,4.00917,0.0880574,-0.79977,4.27533,0.210897,-1.69874,4.14176,0.215036,-1.64676,4.25708,0.247967,-1.31096,4.25649,0.253355,-0.793619,4.23945,0.172191,-0.803636,4.29469,0.175633,-0.498201,4.36299,0.178696,-0.197433,4.41619,0.177898,-0.0432635,4.45173,-0.0174696,-0.327531,4.42232,0.347951,-0.311869,4.36401,0.158215,0.625193,0.783446,0.169257
0.0526428,-1.5459,3.64844,0.0630429,-1.51574,3.78442,0.0621,-1.24524,3.97286,0.0807915,-0.79708,4.22753,0.212777,-1.68871,4.15059,0.215404,-1.64837,4.25552,0.246157,-1.30865,4.24291,0.248111,-0.791018,4.21261,0.165912,-0.80102,4.25812,0.167284,-0.493249,4.3177,0.168513,-0.189066,4.36623,0.1726,-0.0391826,4.41583,-0.0177581,-0.319738,4.36407,0.338826,-0.304696,4.30531,0.157929,0.629772,0.782468,0.168092
0.0461498,-1.56014,3.60478,0.0654252,-1.53571,3.72394,0.0631012,-1.24396,3.94562,0.078698,-0.812181,4.21035,0.216091,-1.6944,4.14636,0.215437,-1.64893,4.2555,0.243859,-1.28842,4.21275,0.242224,-0.810216,4.16667,0.162096,-0.818822,4.22758,0.164156,-0.504335,4.28932,0.165485,-0.194729,4.33547,0.169661,-0.0383831,4.3826,-0.0209009,-0.322607,4.33934,0.331133,-0.30441,4.28485,0.163349,0.635951,0.804748,0.169271
0.0547491,-1.59056,3.52904,0.063358,-1.56834,3.65475,0.0644444,-1.24763,3.91549,0.0768091,-0.817818,4.17902,0.218443,-1.69893,4.13673,0.215744,-1.65344,4.2507,0.24158,-1.28658,4.19646,0.240873,-0.813974,4.15183,0.160258,-0.823565,4.2034,0.161398,-0.505045,4.26645,0.162129,-0.191047,4.31562,0.159918,-0.035043,4.34937,-0.0312287,-0.319693,4.3152,0.32699,-0.311302,4.25564,0.159627,0.647134,0.807656,0.166346
0.0533729,-1.59002,3.51057,0.0693233,-1.57298,3.63942,0.0626657,-1.31808,3.84646,0.0697452,-0.816732,4.13875,0.213625,-1.70089,4.1379,0.216718,-1.65052,4.25071,0.238935,-1.28564,4.16569,0.232226,-0.805933,4.10336,0.15233,-0.818944,4.15881,0.150813,-0.495454,4.21839,0.149167,-0.176051,4.26587,0.151908,-0.031791,4.32605,-0.0318998,-0.311948,4.26869,0.315751,-0.288778,4.21265,0.156335,0.657982,0.809528,0.166638
0.063679,-1.58963,3.49014,0.0739869,-1.56067,3.65179,0.0641144,-1.31963,3.83557,0.0696234,-0.816137,4.09691,0.212246,-1.70381,4.1427,0.219104,-1.64257,4.24315,0.233224,-1.28631,4.13999,0.23232,-0.809846,4.06842,0.152378,-0.820705,4.12121,0.147932,-0.497525,4.19472,0.144256,-0.178221,4.25047,0.143096,-0.0217232,4.29118,-0.0387342,-0.309493,4.24687,0.315161,-0.293421,4.19295,0.161713,0.660368,0.823847,0.165293
0.0630763,-1.58954,3.51156,0.0741744,-1.55579,3.65596,0.0550101,-1.30231,3.81833,0.0583745,-0.795751,4.0735,0.214254,-1.70508,4.12833,0.21714,-1.6414,4.2226,0.227545,-1.28077,4.08346,0.217728,-0.777528,4.02884,0.138888,-0.793425,4.0888,0.135445,-0.4783,4.15348,0.131881,-0.167799,4.20431,0.135263,-0.0166364,4.2632,-0.0472661,-0.306625,4.2113,0.305616,-0.277587,4.15329,0.162262,0.645631,0.800424,0.166493
0.0635464,-1.58992,3.51027,0.0722634,-1.54988,3.65908,0.0492675,-1.22742,3.81777,0.0494771,-0.769691,4.02897,0.216914,-1.68359,4.13621,0.208311,-1.60148,4.18001,0.219428,-1.26221,4.0268,0.214056,-0.766556,4.01108,0.133203,-0.776076,4.05961,0.12835,-0.466413,4.1326,0.123748,-0.159681,4.18975,0.126412,-0.00411428,4.23429,-0.0515374,-0.293543,4.18095,0.299356,-0.273801,4.13808,0.161841,0.635199,0.799262,0.165577
0.062875,-1.59035,3.50711,0.0722224,-1.54979,3.6591,0.0491609,-1.22806,3.81282,0.0430027,-0.758731,4.00663,0.222684,-1.69167,4.09366,0.208675,-1.61513,4.15721,0.220691,-1.27521,3.9759,0.205097,-0.744695,3.96615,0.124933,-0.758823,4.02448,0.121324,-0.449797,4.09832,0.117741,-0.145364,4.15946,0.11673,0.00939816,4.20438,-0.0666828,-0.274534,4.14,0.295605,-0.251289,4.09192,0.161155,0.636523,0.795751,0.167659
