Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
0.0408325,-1.64453,3.88086,0.057836,-1.60353,4.02064,0.0666083,-1.28895,4.16811,0.100555,-0.815651,4.35742,0.306885,-1.72266,4.32031,0.319143,-1.66929,4.41338,0.291501,-1.2983,4.32439,0.258019,-0.805813,4.31432,0.180818,-0.817688,4.37307,0.185755,-0.514499,4.43676,0.190096,-0.214601,4.48707,0.179683,-0.0686967,4.51487,0.0100568,-0.357163,4.50445,0.356996,-0.33524,4.41054,0.148895,0.62136,0.767917,0.163551
0.0406964,-1.64447,3.88098,0.0558254,-1.60716,4.01801,0.0654731,-1.28957,4.16104,0.0944599,-0.832647,4.33451,0.307374,-1.72135,4.32031,0.318785,-1.66606,4.41283,0.288342,-1.29811,4.31685,0.25232,-0.81524,4.29806,0.174876,-0.830864,4.35417,0.178782,-0.51908,4.42757,0.182055,-0.214215,4.48283,0.172237,-0.0607751,4.50844,0.00214511,-0.357336,4.50017,0.345351,-0.325788,4.40208,0.155871,0.641974,0.787331,0.162945
0.0392179,-1.64574,3.88221,0.054347,-1.6073,4.01678,0.0575427,-1.28514,4.14413,0.0909078,-0.822695,4.31385,0.305814,-1.71732,4.3138,0.313583,-1.65281,4.3865,0.27457,-1.2731,4.2588,0.245243,-0.801094,4.26159,0.169686,-0.819054,4.3261,0.167031,-0.511191,4.40001,0.164342,-0.207697,4.45983,0.154207,-0.0531387,4.4886,-0.0153571,-0.352955,4.47738,0.319145,-0.311746,4.37104,0.157538,0.636339,0.78693,0.164368
0.0385736,-1.64583,3.88252,0.0543503,-1.60622,4.01588,0.0548397,-1.28663,4.1339,0.0747036,-0.811982,4.29546,0.303138,-1.71334,4.29149,0.300335,-1.64934,4.36388,0.266848,-1.27324,4.21416,0.231509,-0.795614,4.24601,0.154347,-0.810946,4.30856,0.152399,-0.505307,4.38215,0.150028,-0.203342,4.44181,0.143279,-0.048891,4.47524,-0.025921,-0.339455,4.45833,0.312997,-0.306809,4.36466,0.158172,0.630503,0.786084,0.165231
0.0383422,-1.64617,3.88458,0.0549115,-1.60617,4.01497,0.0477768,-1.27828,4.12573,0.0703685,-0.80134,4.25861,0.302488,-1.7079,4.27738,0.297179,-1.63344,4.33861,0.261311,-1.25271,4.15726,0.228507,-0.788953,4.22929,0.150739,-0.802337,4.28284,0.14372,-0.496497,4.3619,0.136294,-0.193781,4.42553,0.132082,-0.042036,4.46131,-0.0405076,-0.334869,4.42519,0.307829,-0.302811,4.34861,0.155964,0.633509,0.788048,0.161311
0.0379132,-1.64445,3.89588,0.0540716,-1.60352,4.01461,0.0448762,-1.2658,4.11453,0.0660294,-0.801217,4.25307,0.302723,-1.69962,4.23262,0.29128,-1.61386,4.28758,0.250358,-1.2282,4.10651,0.221807,-0.783877,4.21521,0.145073,-0.800066,4.27283,0.136585,-0.494536,4.34799,0.128052,-0.19266,4.40904,0.118885,-0.0368484,4.43739,-0.0626121,-0.338379,4.39233,0.301591,-0.295076,4.33189,0.158634,0.631282,0.786136,0.161247
0.0387927,-1.64598,3.90027,0.0549088,-1.6012,4.01622,0.0424568,-1.25927,4.10961,0.059422,-0.796386,4.23881,0.299335,-1.68497,4.2068,0.289368,-1.58895,4.2668,0.25141,-1.20557,4.07054,0.217423,-0.777496,4.19989,0.139454,-0.794048,4.25719,0.129258,-0.488741,4.33179,0.118866,-0.187097,4.39258,0.112942,-0.0321377,4.42593,-0.0668376,-0.335502,4.37644,0.293988,-0.291308,4.31673,0.158618,0.631197,0.785854,0.163817
0.0387605,-1.6463,3.90104,0.0560947,-1.59909,4.01515,0.0418315,-1.25825,4.10508,0.0524521,-0.794039,4.20913,0.290771,-1.66309,4.14063,0.28714,-1.57378,4.20669,0.246593,-1.1791,4.02653,0.211656,-0.772914,4.1754,0.133224,-0.790524,4.2303,0.119653,-0.482995,4.303,0.105556,-0.17889,4.36171,0.102239,-0.0298662,4.40776,-0.0737821,-0.332899,4.36694,0.281483,-0.282073,4.29005,0.156012,0.63601,0.786182,0.164103
0.0387208,-1.64675,3.89883,0.0555685,-1.60077,4.01444,0.0412653,-1.26338,4.09435,0.0490427,-0.790864,4.19694,0.283203,-1.6582,4.05859,0.273062,-1.59159,4.14443,0.244466,-1.18944,4.00483,0.208631,-0.769376,4.16182,0.12997,-0.787168,4.2173,0.117683,-0.481021,4.29167,0.10486,-0.178216,4.35208,0.0916844,-0.0245755,4.37232,-0.0822913,-0.324614,4.33713,0.274691,-0.278173,4.27767,0.155527,0.634446,0.78276,0.164814
0.0377468,-1.65339,3.87725,0.0578759,-1.60528,4.00759,0.0409096,-1.28257,4.07802,0.0447899,-0.786994,4.18072,0.275391,-1.63965,3.99023,0.26522,-1.57703,4.07409,0.243643,-1.18657,3.96464,0.20488,-0.76315,4.14705,0.125967,-0.78212,4.20186,0.111128,-0.475964,4.27687,0.0959676,-0.173347,4.338,0.0882108,-0.0182755,4.35823,-0.0910151,-0.317605,4.31988,0.273573,-0.273029,4.25892,0.156579,0.635547,0.782974,0.16532
