Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
1.68165,-1.3605,3.8857,1.63456,-1.44434,3.95917,1.73237,-1.24744,3.86748,1.67737,-0.955417,3.7412,1.78613,-1.29004,3.42578,1.81234,-1.37806,3.46644,1.84281,-1.17216,3.59438,1.77319,-0.958258,3.71519,1.73608,-0.962825,3.75152,1.75062,-0.621603,3.8597,1.7615,-0.283064,3.95895,1.80129,-0.225658,3.94293,1.65883,-0.409533,3.83019,1.87062,-0.415913,3.76293,0.0716562,0.711724,0.767695,0.0993334
1.71289,-1.33984,3.91602,1.73355,-1.40423,4.00128,1.66137,-1.18227,3.8888,1.68146,-0.953788,3.76934,1.80902,-1.32638,3.48082,1.8221,-1.43885,3.4914,1.85412,-1.20382,3.61778,1.77842,-0.966896,3.74947,1.74172,-0.966548,3.7846,1.75783,-0.624131,3.8717,1.77159,-0.285637,3.96041,1.81658,-0.229466,3.94406,1.66185,-0.422385,3.86366,1.87211,-0.461863,3.82511,0.0737964,0.700754,0.763625,0.0998385
1.72045,-1.38816,3.97844,1.75003,-1.483,4.06591,1.65834,-1.23416,3.94384,1.69336,-0.964228,3.83207,1.80655,-1.36985,3.46591,1.82383,-1.47733,3.45183,1.87731,-1.23194,3.62406,1.78903,-0.981262,3.80463,1.75486,-0.980494,3.84875,1.77465,-0.644524,3.93919,1.78969,-0.311713,4.0184,1.81352,-0.224298,4.02265,1.67731,-0.437242,3.901,1.87947,-0.471691,3.85039,0.0907048,0.6854,0.788116,0.100973
1.73156,-1.40578,4.00967,1.7715,-1.49277,4.10252,1.70642,-1.23326,4.0053,1.69294,-0.985253,3.87445,1.77134,-1.37124,3.5763,1.75599,-1.47885,3.57407,1.88585,-1.23567,3.67918,1.8105,-0.987163,3.85228,1.76478,-0.993597,3.89223,1.76086,-0.678622,3.95299,1.7495,-0.37461,4.00704,1.80943,-0.284128,4.08321,1.64805,-0.490021,3.94979,1.88669,-0.493887,3.91555,0.13259,0.627427,0.739992,0.119645
1.73134,-1.40959,4.07015,1.75845,-1.50571,4.15931,1.71179,-1.24711,4.04705,1.69385,-0.992869,3.92552,1.75455,-1.33006,3.62565,1.7076,-1.42556,3.67572,1.93029,-1.24087,3.7457,1.80954,-0.995839,3.88937,1.76499,-1.00202,3.93687,1.75195,-0.695585,3.99996,1.73522,-0.390507,4.04732,1.83134,-0.310355,4.07655,1.63269,-0.503486,4.00221,1.88027,-0.513024,3.96792,0.128521,0.615943,0.710916,0.121241
1.73087,-1.39535,4.08599,1.76419,-1.48941,4.17003,1.6667,-1.24157,4.09601,1.68918,-1.01156,3.97003,1.73782,-1.3529,3.70972,1.6803,-1.43713,3.71523,1.87438,-1.24992,3.81532,1.80255,-1.00465,3.95172,1.75851,-1.01541,3.98957,1.75703,-0.704811,4.00557,1.75654,-0.408357,4.02995,1.81995,-0.32956,4.0783,1.63873,-0.498429,4.03822,1.85367,-0.484885,4.00148,0.112105,0.609908,0.68708,0.115046
1.73504,-1.42233,4.10114,1.77123,-1.53022,4.16616,1.72231,-1.25192,4.13644,1.69494,-1.01826,4.00938,1.89602,-1.4147,3.77882,1.94599,-1.52116,3.77339,1.83321,-1.30731,3.93405,1.80663,-1.02677,4.006,1.76395,-1.03043,4.03961,1.7743,-0.726405,4.06707,1.77999,-0.424491,4.08381,1.78962,-0.330579,4.22284,1.65269,-0.478086,4.0873,1.86373,-0.492833,4.05125,0.168052,0.604432,0.729377,0.112064
1.73036,-1.42193,4.13204,1.76825,-1.5328,4.18814,1.69855,-1.26084,4.15362,1.69395,-1.00119,4.06697,1.8534,-1.29761,3.92573,1.87227,-1.41424,3.96628,2.03006,-1.1726,3.96926,1.80176,-1.02034,4.04665,1.76021,-1.01774,4.08797,1.75688,-0.679953,4.18524,1.74948,-0.345006,4.27146,1.80384,-0.290207,4.24145,1.65532,-0.475522,4.1378,1.88111,-0.514689,4.09777,0.0828146,0.689552,0.755678,0.111366
1.67452,-1.46794,4.12537,1.63024,-1.57422,4.15775,1.75465,-1.31007,4.16383,1.7001,-1.0068,4.089,1.87179,-1.30899,4.00778,1.85583,-1.41281,4.08671,2.03023,-1.17995,4.05613,1.80917,-1.02356,4.07896,1.76725,-1.02254,4.11329,1.76047,-0.68932,4.22062,1.74803,-0.360743,4.31961,1.7988,-0.303196,4.28391,1.6558,-0.479282,4.1765,1.89638,-0.512841,4.15011,0.0846312,0.687657,0.74902,0.110803
1.66575,-1.46718,4.15926,1.62267,-1.56405,4.22048,1.75835,-1.31802,4.17315,1.68603,-1.01575,4.16232,1.86823,-1.33902,4.0667,1.85008,-1.406,4.17971,2.00278,-1.17451,4.11271,1.79214,-1.00961,4.13266,1.75152,-1.01992,4.17715,1.7455,-0.677919,4.27716,1.73552,-0.338807,4.36596,1.79022,-0.265743,4.36096,1.66069,-0.4775,4.19818,1.86625,-0.482354,4.17661,0.0914087,0.708644,0.778111,0.110344
