Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
1.57737,-1.23835,2.7421,1.63736,-1.38706,2.83333,1.53779,-1.03596,2.75717,1.48487,-0.70427,2.60617,1.94872,-1.54259,2.27602,1.95205,-1.52689,2.42998,1.77883,-1.12397,2.49476,1.61298,-0.705926,2.59062,1.56963,-0.714513,2.63309,1.57772,-0.374611,2.69838,1.5784,-0.0412497,2.74973,1.6315,0.0890404,2.8178,1.44685,-0.213864,2.66452,1.7285,-0.218179,2.63656,0.156299,0.6848,0.826999,0.129062
1.46068,-1.17587,2.71532,1.41214,-1.29436,2.79237,1.59844,-1.01168,2.7223,1.49915,-0.727612,2.66457,1.79967,-1.48343,2.45641,1.81703,-1.45876,2.58941,1.69255,-1.01191,2.60024,1.62583,-0.711326,2.63918,1.58316,-0.728981,2.68698,1.58223,-0.384537,2.75512,1.57411,-0.0466037,2.80907,1.62577,0.0711443,2.87914,1.44762,-0.217738,2.71294,1.66893,-0.189821,2.68264,0.146435,0.700193,0.818437,0.130224
1.49187,-1.19166,2.7176,1.47487,-1.33412,2.78926,1.62442,-1.01435,2.73724,1.50646,-0.716208,2.69612,1.84923,-0.910351,2.5975,1.9955,-0.859716,2.63016,1.68341,-1.0251,2.68139,1.62276,-0.700503,2.66752,1.58491,-0.717778,2.7165,1.57678,-0.383433,2.81019,1.56149,-0.0583003,2.88168,1.62849,0.053344,2.89363,1.4446,-0.223404,2.75214,1.68629,-0.189508,2.72952,0.130755,0.685785,0.787047,0.120784
1.37535,-1.14888,2.75042,1.28204,-1.21824,2.83416,1.59784,-1.05504,2.7423,1.51877,-0.718122,2.75123,1.60182,-1.22836,2.71584,1.67524,-1.36293,2.7639,1.758,-1.00906,2.76142,1.63029,-0.70017,2.72033,1.59489,-0.718315,2.77116,1.58642,-0.374852,2.84569,1.57262,-0.0380524,2.91269,1.62477,0.0869333,2.97588,1.44191,-0.219696,2.81411,1.67684,-0.182774,2.77181,0.149447,0.701046,0.827569,0.117107
1.60142,-1.24545,2.62856,1.67848,-1.37144,2.6149,1.52918,-1.08484,2.77887,1.52502,-0.731954,2.80049,2.1383,-1.41468,2.85719,2.1085,-1.35383,2.95692,1.8342,-0.983689,2.82873,1.64892,-0.715976,2.76552,1.60724,-0.733206,2.81853,1.59646,-0.382863,2.86692,1.5777,-0.0406703,2.91499,1.62235,0.081816,2.99513,1.44441,-0.218365,2.85843,1.68828,-0.186487,2.80943,0.15303,0.702679,0.830601,0.129733
1.53785,-1.27241,2.68227,1.56869,-1.41629,2.69835,1.52671,-1.08052,2.77568,1.53046,-0.743651,2.83785,1.38862,-1.04616,2.53831,1.44647,-1.07479,2.67442,1.74005,-1.02461,2.87315,1.65175,-0.726036,2.79905,1.61028,-0.743693,2.85243,1.61099,-0.395057,2.9044,1.60113,-0.0503368,2.93751,1.61457,0.042809,3.06385,1.43817,-0.226776,2.90275,1.69783,-0.190733,2.85888,0.15754,0.703996,0.814018,0.128551
1.51987,-1.20245,2.65614,1.53671,-1.3414,2.63315,1.52563,-1.03654,2.80272,1.51793,-0.707361,2.88337,1.50713,-1.00602,2.72348,1.48272,-0.891511,2.78226,1.7659,-1.04547,2.93326,1.64131,-0.710536,2.8237,1.59749,-0.716142,2.89004,1.58872,-0.390497,2.95478,1.57406,-0.0712484,3.00476,1.63184,0.0438352,3.07136,1.43369,-0.235137,2.95686,1.72134,-0.232187,2.88612,0.144981,0.650018,0.79404,0.137088
1.53725,-1.13644,2.73428,1.53236,-1.27885,2.74165,1.35408,-1.02198,2.84386,1.51373,-0.725194,2.90919,1.63686,-1.10052,2.84851,1.73654,-1.13148,2.98184,1.48325,-1.01428,2.8296,1.63479,-0.712234,2.85299,1.59255,-0.725845,2.91288,1.58766,-0.396905,2.98369,1.57743,-0.0729972,3.04399,1.63203,0.0411107,3.09449,1.43739,-0.237671,2.99985,1.70041,-0.20175,2.93401,0.136203,0.669022,0.791111,0.134101
1.53905,-1.12914,2.74468,1.54472,-1.27189,2.7576,1.3764,-1.02013,2.84483,1.52453,-0.727405,2.94694,1.6615,-1.06587,2.86838,1.77207,-1.06737,2.99142,1.51714,-1.02031,2.83115,1.64433,-0.713196,2.89343,1.60299,-0.728545,2.95497,1.59257,-0.40959,3.02071,1.57677,-0.0954401,3.07516,1.63335,0.0058066,3.16078,1.44628,-0.25131,3.04751,1.7074,-0.216124,2.96243,0.144167,0.646953,0.767178,0.131975
1.54207,-1.11049,2.74673,1.54784,-1.25246,2.76144,1.3744,-1.01364,2.83448,1.52924,-0.745657,2.99753,1.64793,-1.06926,2.86454,1.75689,-1.07122,2.98801,1.4999,-1.0292,2.84931,1.65361,-0.736888,2.93729,1.60944,-0.749664,3.001,1.60234,-0.431947,3.06746,1.58924,-0.119094,3.12081,1.61263,-0.0183406,3.20856,1.44971,-0.263357,3.08971,1.71867,-0.231465,3.01041,0.135646,0.641389,0.769142,0.138476
