Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
1.70822,-1.10989,2.07123,1.74229,-1.06931,2.19326,1.56042,-0.833146,2.25602,1.35493,-0.556888,2.34904,1.64121,-1.16899,2.1109,1.69076,-1.12043,2.22412,1.56465,-0.841844,2.25575,1.42888,-0.520976,2.31102,1.4064,-0.544543,2.35429,1.39708,-0.21761,2.3858,1.38262,0.104044,2.40766,1.35055,0.137529,2.3785,1.29744,-0.144822,2.38658,1.46028,-0.0657846,2.27177,0.0547718,0.664104,0.666573,0.0905789
1.39996,-0.978382,2.18588,1.37084,-1.09771,2.22184,1.41976,-0.843871,2.26332,1.37222,-0.469785,2.37025,1.71231,-0.926433,2.21003,1.65409,-0.92492,2.30153,1.37898,-0.806612,2.23261,1.4312,-0.529622,2.31383,1.41487,-0.518893,2.3646,1.40045,-0.193878,2.39164,1.38169,0.127108,2.40991,1.38226,0.0493381,2.48576,1.37388,0.0654701,2.30732,1.45937,-0.0427183,2.27408,0.10864,0.598285,0.60593,0.101201
1.39912,-0.988639,2.19526,1.37255,-1.10389,2.22844,1.42287,-0.851017,2.26488,1.37099,-0.490061,2.38608,1.75054,-0.913377,2.28486,1.6803,-0.921665,2.35368,1.40848,-0.844775,2.25014,1.43724,-0.573268,2.334,1.41694,-0.533551,2.37921,1.40135,-0.195404,2.40155,1.38184,0.134424,2.42025,1.37792,0.0631717,2.50384,1.37412,0.0668409,2.31493,1.45953,-0.0353883,2.28446,0.109908,0.625514,0.661377,0.118427
1.40464,-0.989997,2.19598,1.38807,-1.10585,2.22548,1.42376,-0.853174,2.2691,1.37,-0.498063,2.38923,1.54396,-0.952513,2.27207,1.65389,-0.960287,2.34834,1.44931,-0.841369,2.26619,1.44406,-0.571892,2.33528,1.42028,-0.53774,2.38286,1.40292,-0.202123,2.41292,1.37941,0.12753,2.43698,1.38052,0.0671346,2.5346,1.3347,0.021459,2.37193,1.4958,-0.0910713,2.34927,0.114801,0.627483,0.672399,0.117668
1.4073,-0.996841,2.21097,1.39323,-1.1105,2.26763,1.43159,-0.84846,2.27854,1.38118,-0.500499,2.41523,1.52775,-0.967011,2.27773,1.63464,-0.989901,2.36359,1.44788,-0.838737,2.27258,1.45308,-0.572499,2.35051,1.43299,-0.541271,2.40887,1.4074,-0.212423,2.45762,1.37253,0.109698,2.4946,1.40241,0.0512089,2.46453,1.36592,0.0726513,2.39433,1.57444,-0.127235,2.38497,0.0722336,0.615397,0.636065,0.120588
1.40763,-0.995552,2.21365,1.39751,-1.11449,2.25856,1.4309,-0.849538,2.29608,1.38783,-0.493266,2.42022,1.53614,-0.957873,2.29219,1.64363,-0.972657,2.38149,1.45281,-0.821158,2.28963,1.49232,-0.529133,2.36478,1.45401,-0.518773,2.41899,1.41651,-0.206405,2.46127,1.3775,0.109779,2.49532,1.40294,0.0617319,2.61423,1.34011,-0.00677537,2.40405,1.58988,-0.127392,2.40961,0.130751,0.607791,0.647563,0.123605
1.48014,-1.15628,2.05741,1.51621,-1.14963,2.17483,1.44183,-0.857092,2.30214,1.38088,-0.574824,2.44864,1.54006,-0.97795,2.31801,1.64058,-1.00674,2.415,1.45176,-0.819331,2.29604,1.4863,-0.540248,2.38974,1.44848,-0.565695,2.4505,1.42126,-0.228479,2.5094,1.38897,0.102843,2.55722,1.40457,0.0390095,2.53038,1.30855,-0.223138,2.52576,1.60188,-0.132846,2.43514,0.0709826,0.686359,0.601662,0.125604
1.40934,-1.01086,2.21559,1.38777,-1.13083,2.24631,1.4477,-0.865829,2.30926,1.38943,-0.571232,2.4587,1.55041,-0.984638,2.33366,1.65019,-1.01586,2.434,1.44774,-0.82068,2.30536,1.50029,-0.537769,2.40992,1.45994,-0.561852,2.46274,1.43351,-0.233988,2.53405,1.4023,0.0798119,2.60371,1.40867,0.0747768,2.55321,1.31119,-0.223706,2.53233,1.61191,-0.138646,2.46107,0.0511443,0.667121,0.635719,0.125656
1.52776,-1.14624,2.05585,1.52907,-1.14938,2.17517,1.45467,-0.871065,2.31544,1.39273,-0.599332,2.4765,1.56363,-0.985794,2.35469,1.66119,-1.01318,2.45487,1.44716,-0.823778,2.31519,1.50065,-0.550118,2.4251,1.46214,-0.579978,2.47768,1.43481,-0.237374,2.53746,1.40414,0.0847282,2.60073,1.48694,0.0260806,2.68318,1.34192,-0.0692814,2.46532,1.4012,-0.0426392,2.47668,0.130741,0.695342,0.631506,0.129271
1.40546,-1.01181,2.2416,1.36246,-1.11331,2.2977,1.46258,-0.876056,2.32664,1.40214,-0.578021,2.49425,1.58325,-0.993484,2.38704,1.67813,-1.01937,2.48844,1.45281,-0.831284,2.33642,1.5041,-0.551489,2.4438,1.46792,-0.572344,2.49429,1.4404,-0.240644,2.5489,1.40706,0.0819953,2.60128,1.47271,0.0117846,2.68543,1.34384,-0.0676604,2.47026,1.39953,-0.0427521,2.47963,0.127756,0.668657,0.613717,0.116812
