Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
1.50315,-1.19695,2.60944,1.52194,-1.34184,2.66904,1.43066,-1.03448,2.64585,1.54773,-0.71152,2.67834,1.74361,-1.21338,2.6569,1.79373,-1.35362,2.7189,1.72872,-1.03938,2.69373,1.68646,-0.723775,2.64671,1.63933,-0.727512,2.69911,1.60611,-0.366564,2.76824,1.56581,-0.0127478,2.82205,1.61785,0.10087,2.87754,1.43216,-0.200588,2.7267,1.73706,-0.228095,2.67485,0.136733,0.713625,0.859085,0.142819
1.52538,-1.2441,2.56112,1.55712,-1.38044,2.57618,1.51516,-1.06333,2.66953,1.55937,-0.722549,2.70598,1.54863,-1.167,2.62197,1.5858,-1.29892,2.68435,1.75378,-1.01312,2.74679,1.69687,-0.700798,2.67713,1.64848,-0.722208,2.72406,1.60956,-0.375511,2.77488,1.56868,-0.0438517,2.82018,1.59765,0.0493406,2.9086,1.42469,-0.210686,2.75486,1.67135,-0.165591,2.7132,0.131687,0.688301,0.791286,0.142172
1.52346,-1.18824,2.5762,1.55773,-1.32578,2.58748,1.5139,-1.02782,2.671,1.54726,-0.727526,2.7167,1.55525,-1.11186,2.64128,1.60486,-1.225,2.73957,1.75644,-0.950754,2.77796,1.6764,-0.702357,2.67915,1.63035,-0.723801,2.72875,1.59386,-0.373731,2.82625,1.55772,-0.0269366,2.90045,1.59731,0.0653116,2.91936,1.42276,-0.215179,2.79299,1.66856,-0.163392,2.73557,0.102151,0.72436,0.808251,0.136822
1.51668,-1.16917,2.61612,1.54173,-1.30104,2.65432,1.51835,-1.00671,2.67792,1.53888,-0.725343,2.76678,1.53607,-1.07641,2.63783,1.6025,-1.16263,2.74464,1.77769,-0.929923,2.82887,1.65925,-0.7011,2.71491,1.61603,-0.721054,2.77266,1.59237,-0.371746,2.83056,1.55867,-0.0264795,2.89766,1.59753,0.0631675,2.97247,1.42581,-0.21854,2.81375,1.65801,-0.172142,2.76762,0.123057,0.711289,0.808856,0.133292
1.53264,-1.10815,2.59218,1.57011,-1.20922,2.54124,1.50774,-0.996416,2.73433,1.54735,-0.707782,2.77787,1.52236,-1.06029,2.62914,1.60408,-1.0832,2.75398,1.81009,-0.89664,2.85659,1.66434,-0.684285,2.73223,1.62224,-0.703874,2.78379,1.59361,-0.371051,2.88493,1.55601,-0.0505493,2.96705,1.59714,0.030419,2.97872,1.43244,-0.223819,2.86885,1.66352,-0.179009,2.80691,0.0915603,0.683973,0.758996,0.127758
1.54563,-1.11468,2.6018,1.59779,-1.21545,2.56854,1.50918,-0.996523,2.73675,1.51442,-0.682929,2.81272,1.52126,-1.06355,2.63011,1.56825,-1.02479,2.71632,1.81976,-0.888966,2.8806,1.62825,-0.662231,2.75587,1.58691,-0.679147,2.81319,1.58061,-0.359611,2.91322,1.56405,-0.0400688,3.01496,1.60584,0.046288,3.04071,1.43103,-0.232149,2.89668,1.6684,-0.186557,2.83193,0.099335,0.675746,0.763963,0.128914
1.53757,-1.11792,2.65535,1.56785,-1.23908,2.67293,1.48821,-0.983827,2.74875,1.52626,-0.711616,2.83009,1.57749,-1.04692,2.62666,1.52667,-1.07647,2.69781,1.78622,-0.892726,2.91424,1.59533,-0.619763,2.78781,1.58086,-0.676381,2.82659,1.57304,-0.349813,2.96211,1.56402,-0.0298306,3.07449,1.60588,0.00978363,3.03978,1.43758,-0.244348,2.93926,1.49626,-0.159907,2.93505,0.0672748,0.725249,0.678181,0.122453
1.54442,-1.10277,2.68232,1.58859,-1.21952,2.6996,1.49401,-0.976629,2.75469,1.52526,-0.712463,2.86408,1.52175,-1.07824,2.66928,1.56256,-1.02922,2.74459,1.78415,-0.888212,2.92502,1.5908,-0.616816,2.80398,1.57236,-0.670698,2.86752,1.56984,-0.363849,2.983,1.56146,-0.0726204,3.10112,1.60449,-0.0185971,3.07916,1.43995,-0.255743,2.97716,1.49954,-0.164043,2.98719,0.072469,0.683296,0.658618,0.130601
1.53571,-1.09959,2.6953,1.55376,-1.22016,2.7096,1.52534,-0.976077,2.80161,1.53488,-0.705684,2.89279,1.53235,-1.07795,2.6977,1.54591,-1.00447,2.73875,1.80088,-0.900132,2.97358,1.61511,-0.620481,2.85292,1.58815,-0.668851,2.89801,1.57944,-0.371204,3.00051,1.56555,-0.0772455,3.10223,1.63074,-0.0043929,3.12226,1.44824,-0.264283,3.01023,1.60415,-0.0991456,2.9766,0.0997923,0.663128,0.67257,0.123631
1.53193,-1.12049,2.71841,1.52246,-1.23534,2.74852,1.53187,-0.983668,2.8067,1.49549,-0.727159,2.92038,1.53079,-1.08859,2.70071,1.56623,-1.04054,2.77536,1.82043,-0.910137,2.98975,1.6085,-0.699728,2.87283,1.56663,-0.720169,2.92391,1.5715,-0.407387,3.04212,1.57177,-0.0989169,3.14948,1.62177,-0.0360529,3.13651,1.45691,-0.273727,3.053,1.70459,-0.241162,2.98352,0.0813663,0.673051,0.714261,0.125638
1.53514,-1.11933,2.72055,1.52648,-1.23394,2.73264,1.52239,-1.00242,2.84609,1.49078,-0.742996,2.94641,1.53811,-1.08387,2.72985,1.57366,-1.03905,2.80837,1.81615,-0.952515,3.0516,1.60605,-0.724533,2.91011,1.56269,-0.740316,2.9552,1.57268,-0.423875,3.0663,1.57698,-0.112407,3.16809,1.63946,-0.0354082,3.19602,1.46088,-0.283812,3.07081,1.71112,-0.266199,3.01032,0.103019,0.673955,0.746831,0.122248
1.53605,-1.13702,2.76781,1.51692,-1.24905,2.79123,1.52826,-1.01338,2.89486,1.48907,-0.756957,3.00005,1.54456,-1.07884,2.76393,1.57234,-1.02487,2.83977,1.8182,-0.952859,3.08439,1.58342,-0.727694,2.95994,1.55035,-0.74914,3.00735,1.58267,-0.43522,3.1052,1.61148,-0.12739,3.19958,1.63904,-0.0385516,3.23723,1.47962,-0.294935,3.12552,1.70792,-0.272366,3.06752,0.100345,0.671677,0.744914,0.106612
1.51518,-1.12983,2.79484,1.46441,-1.22097,2.80068,1.47558,-0.985482,2.90425,1.50492,-0.747419,3.06037,1.54962,-1.08965,2.79176,1.58474,-1.06448,2.88293,1.83022,-0.96525,3.11725,1.62337,-0.740167,3.0177,1.57819,-0.750469,3.06632,1.5937,-0.436129,3.16869,1.6045,-0.125785,3.26049,1.66198,-0.0494298,3.27272,1.48549,-0.303011,3.16359,1.73718,-0.292827,3.10832,0.0963532,0.660601,0.737319,0.126115
1.50917,-1.14556,2.85286,1.45437,-1.236,2.87068,1.4654,-1.00081,2.97414,1.52912,-0.75802,3.10275,1.55916,-1.09251,2.86264,1.6001,-1.04971,2.93878,1.85191,-0.944711,3.16286,1.65028,-0.735727,3.06455,1.60371,-0.753453,3.11082,1.60588,-0.439193,3.19437,1.60778,-0.128237,3.27198,1.65596,-0.0439449,3.32474,1.49317,-0.303184,3.19626,1.74062,-0.293524,3.136,0.110499,0.656852,0.739115,0.12897
1.51885,-1.13522,2.91511,1.4573,-1.21545,2.91458,1.46833,-0.980983,3.01786,1.55052,-0.75264,3.16354,1.55119,-1.10131,2.93119,1.58574,-1.05389,3.00644,1.85701,-0.938106,3.198,1.673,-0.74312,3.11849,1.62591,-0.754445,3.16859,1.62889,-0.455829,3.24343,1.62714,-0.160684,3.30777,1.65461,-0.0733201,3.35544,1.49966,-0.303474,3.2437,1.75569,-0.301681,3.18694,0.103248,0.614072,0.710716,0.13085
1.54779,-1.16896,3.00513,1.52299,-1.27573,3.00461,1.53432,-1.0134,3.09818,1.56225,-0.758781,3.18834,1.60568,-1.1212,2.99341,1.57777,-1.11083,3.08366,1.84859,-0.947729,3.24172,1.68028,-0.756395,3.15308,1.63569,-0.763961,3.19818,1.63739,-0.461203,3.27124,1.6345,-0.162325,3.33407,1.66139,-0.0743454,3.38202,1.50429,-0.303865,3.27127,1.75795,-0.307049,3.21283,0.103743,0.618236,0.719696,0.123202
