Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
0.16394,-1.72754,4.29688,0.212508,-1.68431,4.37863,0.173659,-1.28658,4.35245,0.184868,-0.798993,4.36638,0.319092,-1.67383,3.98828,0.340755,-1.63779,4.12451,0.353617,-1.29594,4.18809,0.34342,-0.797916,4.31537,0.266427,-0.805381,4.37854,0.285284,-0.495788,4.4321,0.303029,-0.18964,4.47215,0.304482,-0.0389064,4.49665,0.113843,-0.313471,4.49736,0.463161,-0.310835,4.37988,0.15272,0.62965,0.781329,0.16656
0.170707,-1.69843,4.24282,0.19763,-1.64897,4.32767,0.172268,-1.27863,4.32066,0.182725,-0.791616,4.35471,0.319819,-1.67307,3.98852,0.341318,-1.63698,4.12371,0.353904,-1.29337,4.18583,0.341392,-0.790455,4.30368,0.264316,-0.797874,4.36662,0.284386,-0.492982,4.42101,0.303129,-0.190738,4.46071,0.303506,-0.0388671,4.47871,0.116555,-0.309458,4.48517,0.462717,-0.307366,4.37127,0.152935,0.621923,0.772629,0.166673
0.147461,-1.69824,4.16016,0.188171,-1.65896,4.25716,0.168861,-1.2867,4.26991,0.180881,-0.789435,4.33636,0.319693,-1.67389,3.98706,0.341814,-1.63655,4.12321,0.354158,-1.29041,4.18294,0.339178,-0.784459,4.28462,0.262284,-0.793816,4.34789,0.282546,-0.487447,4.39499,0.30185,-0.184333,4.42833,0.305424,-0.0338,4.46005,0.11843,-0.310542,4.46037,0.460715,-0.299511,4.35073,0.15388,0.623891,0.771625,0.166614
0.143433,-1.69141,4.09375,0.175757,-1.64434,4.19848,0.163732,-1.28593,4.23251,0.176833,-0.78587,4.3108,0.319537,-1.67373,3.98648,0.342425,-1.63623,4.12205,0.356289,-1.29018,4.1724,0.333457,-0.782445,4.25995,0.257346,-0.790991,4.32262,0.278186,-0.485322,4.36972,0.297976,-0.183021,4.40357,0.305405,-0.0295751,4.43252,0.118155,-0.301946,4.44829,0.461768,-0.291358,4.32645,0.15633,0.621859,0.772906,0.164709
0.138794,-1.67578,4.00781,0.162362,-1.62485,4.13204,0.156053,-1.29385,4.17984,0.176311,-0.782553,4.29534,0.320772,-1.67358,3.98751,0.344579,-1.63347,4.12155,0.358666,-1.28514,4.16567,0.332139,-0.778836,4.23971,0.256453,-0.787507,4.30483,0.278669,-0.482643,4.35813,0.29925,-0.181072,4.39666,0.305567,-0.0264571,4.41539,0.11569,-0.296536,4.43392,0.460999,-0.28749,4.30893,0.155873,0.622222,0.773075,0.165503
0.128784,-1.66211,3.94336,0.151673,-1.62113,4.06169,0.151813,-1.27942,4.13367,0.172894,-0.780052,4.26411,0.321649,-1.67303,3.98791,0.345913,-1.63244,4.12133,0.359748,-1.28511,4.1597,0.329625,-0.776184,4.22042,0.25347,-0.784901,4.27985,0.276753,-0.476249,4.32633,0.299149,-0.170555,4.35935,0.304707,-0.0183011,4.39659,0.112091,-0.296862,4.40371,0.456232,-0.286537,4.2838,0.15684,0.629681,0.778487,0.162752
0.119568,-1.64355,3.87695,0.141226,-1.61344,4.00307,0.148088,-1.28198,4.09533,0.174425,-0.773079,4.24549,0.321663,-1.67301,3.98731,0.346874,-1.63292,4.11952,0.359485,-1.28511,4.1525,0.331506,-0.771351,4.19282,0.255202,-0.778856,4.25664,0.277747,-0.472353,4.31315,0.299501,-0.168612,4.35347,0.30146,-0.0121684,4.37509,0.114824,-0.288589,4.38623,0.458744,-0.285703,4.27047,0.157943,0.626644,0.781335,0.165686
0.115967,-1.63379,3.80664,0.124622,-1.5989,3.93273,0.141368,-1.29027,4.04755,0.172199,-0.769923,4.23291,0.32223,-1.67298,3.98567,0.348087,-1.62986,4.11616,0.359517,-1.28025,4.14374,0.327216,-0.768304,4.17766,0.251946,-0.775825,4.24264,0.271369,-0.468775,4.29449,0.289701,-0.165281,4.33287,0.299566,-0.00938821,4.35901,0.111983,-0.286478,4.37881,0.446861,-0.282034,4.24264,0.158376,0.624012,0.780772,0.164577
0.108276,-1.61328,3.75391,0.121188,-1.5853,3.88394,0.138972,-1.25872,4.01573,0.162004,-0.77714,4.20563,0.32192,-1.67296,3.98399,0.34745,-1.62868,4.11468,0.357164,-1.28133,4.1296,0.319582,-0.774243,4.16082,0.242964,-0.782602,4.22086,0.266165,-0.470446,4.27313,0.287763,-0.162232,4.31064,0.298074,-0.0110987,4.33402,0.105628,-0.281918,4.34258,0.447501,-0.279696,4.22757,0.153278,0.636362,0.782849,0.163851
0.103271,-1.58887,3.69727,0.114861,-1.56383,3.8273,0.133606,-1.26779,3.9777,0.165139,-0.767124,4.17549,0.322143,-1.67246,3.98451,0.346292,-1.62692,4.11039,0.351986,-1.26568,4.1096,0.321726,-0.76539,4.12646,0.245652,-0.773071,4.18822,0.266967,-0.466476,4.24463,0.2873,-0.162751,4.28711,0.29492,-0.0100587,4.31605,0.10004,-0.282787,4.31994,0.447369,-0.277556,4.20733,0.155599,0.626616,0.779224,0.164093
0.0964966,-1.58398,3.64063,0.110256,-1.54727,3.77456,0.128502,-1.26367,3.93859,0.16038,-0.761827,4.15361,0.321582,-1.67256,3.98165,0.346027,-1.62636,4.10958,0.348442,-1.26563,4.10387,0.318981,-0.766745,4.11189,0.24198,-0.771532,4.17053,0.263559,-0.46548,4.22846,0.284115,-0.162684,4.27286,0.290125,-0.0120559,4.29817,0.0934223,-0.279725,4.30068,0.444036,-0.280571,4.18762,0.152859,0.6233,0.777876,0.164071
0.0949478,-1.57227,3.60556,0.107815,-1.53836,3.75549,0.124797,-1.26079,3.91739,0.154858,-0.759768,4.14044,0.3205,-1.67282,3.97977,0.345748,-1.62551,4.10945,0.345187,-1.26261,4.086,0.312179,-0.768495,4.09656,0.235651,-0.771132,4.15593,0.257101,-0.465613,4.21287,0.277471,-0.163617,4.25626,0.285647,-0.0147549,4.27331,0.0907041,-0.276365,4.28184,0.439796,-0.284879,4.16776,0.150058,0.619553,0.774642,0.163558
0.116781,-1.61067,3.56822,0.12987,-1.55063,3.7014,0.117518,-1.28219,3.85548,0.149756,-0.758294,4.1111,0.36236,-1.72453,3.94754,0.333324,-1.66047,4.01809,0.341675,-1.36108,4.07879,0.308657,-0.76946,4.06843,0.231302,-0.770882,4.1271,0.251129,-0.465719,4.18601,0.269964,-0.164169,4.23127,0.281143,-0.00964492,4.25473,0.0856268,-0.273674,4.25684,0.434378,-0.278985,4.14773,0.156694,0.617961,0.782806,0.16491
0.0999414,-1.62612,3.44017,0.0886632,-1.61183,3.59828,0.113266,-1.31171,3.81623,0.144729,-0.754366,4.09096,0.361719,-1.70471,3.85282,0.332039,-1.69269,4.00815,0.337871,-1.34062,4.06631,0.304559,-0.767037,4.0471,0.226701,-0.767686,4.10637,0.244584,-0.463529,4.16398,0.261305,-0.163105,4.20795,0.274108,-0.00503638,4.23456,0.0795921,-0.273634,4.23857,0.427872,-0.277523,4.12383,0.160803,0.613894,0.78531,0.166221
0.108005,-1.63419,3.43691,0.0907809,-1.63238,3.56289,0.111578,-1.30875,3.80788,0.138602,-0.747437,4.06226,0.352316,-1.69436,3.86195,0.331185,-1.654,4.01099,0.332747,-1.35544,4.05768,0.300448,-0.762141,4.02425,0.221585,-0.761793,4.08064,0.238543,-0.457932,4.1418,0.254616,-0.157817,4.18914,0.264693,-0.00376371,4.21686,0.0731396,-0.263675,4.1941,0.423541,-0.270522,4.10883,0.156851,0.614175,0.783272,0.166898
0.110454,-1.63744,3.41935,0.0815706,-1.63196,3.54172,0.110178,-1.30488,3.79517,0.135842,-0.746708,4.04933,0.348504,-1.69091,3.86403,0.329526,-1.64448,4.01089,0.329298,-1.34646,4.04607,0.290831,-0.758248,4.00146,0.215738,-0.759673,4.06313,0.232034,-0.452981,4.12496,0.247278,-0.149959,4.17289,0.251163,0.00780648,4.19847,0.0658252,-0.265823,4.18583,0.406938,-0.262647,4.08107,0.159873,0.619512,0.791977,0.162622
0.106579,-1.63858,3.41927,0.0835976,-1.62381,3.54086,0.108725,-1.30498,3.78697,0.125694,-0.738964,4.00816,0.355484,-1.70277,3.86042,0.330328,-1.68463,4.01705,0.321409,-1.33329,4.01536,0.287573,-0.748176,3.9724,0.208812,-0.750328,4.02768,0.222782,-0.444162,4.09192,0.235997,-0.141851,4.14258,0.239435,0.0111664,4.17891,0.0507388,-0.264034,4.15027,0.397989,-0.255544,4.06084,0.157307,0.621918,0.788391,0.166036
0.104856,-1.63735,3.42428,0.0772291,-1.61271,3.54104,0.106854,-1.27458,3.77925,0.125551,-0.733779,3.99144,0.346648,-1.69534,3.85213,0.330108,-1.6806,4.01194,0.313279,-1.30945,3.95305,0.286038,-0.736578,3.95135,0.20787,-0.742275,4.00894,0.216252,-0.436548,4.07611,0.223213,-0.133986,4.12817,0.220021,0.0233508,4.14891,0.0443557,-0.25613,4.13197,0.385758,-0.244837,4.03973,0.158731,0.622883,0.787959,0.165441
0.105423,-1.65038,3.42159,0.0736736,-1.62091,3.5336,0.098216,-1.29722,3.76537,0.124278,-0.728161,3.976,0.32707,-1.71152,3.78952,0.318664,-1.69133,3.94808,0.31455,-1.30738,3.92261,0.281285,-0.71652,3.9282,0.204967,-0.730172,3.98984,0.207827,-0.423165,4.05333,0.209216,-0.120281,4.10319,0.210197,0.029619,4.13584,0.0302141,-0.253262,4.12135,0.37329,-0.234864,4.02884,0.153418,0.626826,0.777748,0.164534
0.102763,-1.65065,3.42026,0.0725058,-1.61948,3.53123,0.0974671,-1.29469,3.76088,0.117263,-0.72098,3.94529,0.343714,-1.69835,3.77903,0.321716,-1.67315,3.93337,0.310028,-1.30057,3.89207,0.279193,-0.711194,3.91492,0.200447,-0.723043,3.96815,0.199467,-0.418802,4.03009,0.197168,-0.118758,4.07791,0.198298,0.0322304,4.10962,0.0137246,-0.252526,4.08243,0.366458,-0.224521,3.99784,0.154287,0.621807,0.772743,0.165044
0.103411,-1.6426,3.41464,0.0728039,-1.61933,3.53089,0.0956581,-1.29128,3.75419,0.112029,-0.7174,3.92685,0.340831,-1.67107,3.74132,0.347766,-1.63933,3.89735,0.306367,-1.29255,3.83465,0.273243,-0.705589,3.89286,0.194463,-0.71828,3.94703,0.190533,-0.413537,4.00254,0.185621,-0.112959,4.04408,0.187587,0.0392167,4.08661,0.0103019,-0.24505,4.06623,0.358866,-0.22161,3.98005,0.158017,0.620089,0.774345,0.165181
0.0976935,-1.64326,3.41291,0.0733664,-1.61906,3.53076,0.0956161,-1.29478,3.7522,0.108877,-0.714072,3.91441,0.314022,-1.6742,3.62046,0.317497,-1.63975,3.77506,0.296661,-1.23609,3.75968,0.270546,-0.701095,3.88233,0.191551,-0.714373,3.93576,0.187299,-0.410038,3.99391,0.182431,-0.109848,4.03797,0.180875,0.0446876,4.06433,0.00249748,-0.237247,4.04083,0.35352,-0.218799,3.95856,0.156776,0.621097,0.772889,0.165332
0.102855,-1.64601,3.41199,0.0709848,-1.61834,3.52478,0.0958017,-1.29951,3.7485,0.108355,-0.712472,3.89953,0.310945,-1.66422,3.57878,0.304532,-1.63304,3.71352,0.297316,-1.22875,3.72524,0.270698,-0.692477,3.8629,0.191326,-0.709562,3.91883,0.184827,-0.401981,3.97074,0.177187,-0.0978555,4.00817,0.174356,0.0507651,4.04292,-0.00433569,-0.235334,4.02556,0.353317,-0.21394,3.94759,0.152656,0.627927,0.770778,0.167622
0.114202,-1.66265,3.41553,0.0727362,-1.62563,3.51829,0.0961965,-1.29835,3.742,0.10525,-0.710101,3.87182,0.287641,-1.65257,3.47231,0.30905,-1.62461,3.5903,0.300697,-1.27209,3.6892,0.267691,-0.687693,3.83802,0.188244,-0.705701,3.89218,0.179721,-0.397908,3.94433,0.170759,-0.0941776,3.98333,0.169252,0.0558712,4.00805,-0.0127939,-0.228238,3.98823,0.345363,-0.206789,3.91289,0.152079,0.629354,0.769081,0.167424
0.107725,-1.646,3.41186,0.0763203,-1.61845,3.53343,0.0909946,-1.27479,3.72936,0.103458,-0.738058,3.84492,0.280196,-1.61544,3.38132,0.302128,-1.58636,3.54562,0.292815,-1.24056,3.62962,0.264452,-0.732737,3.81039,0.185788,-0.74395,3.86608,0.178441,-0.410213,3.93061,0.170034,-0.0930364,3.97433,0.166626,0.0629554,4.00131,-0.0169686,-0.231041,3.97491,0.34685,-0.212545,3.89083,0.158346,0.661235,0.824104,0.16474
0.101972,-1.63803,3.42632,0.0894362,-1.60556,3.5631,0.091312,-1.27453,3.72879,0.100957,-0.735954,3.83771,0.253418,-1.60938,3.31836,0.307631,-1.57787,3.43402,0.291866,-1.23987,3.59888,0.26419,-0.731025,3.8074,0.18467,-0.741794,3.86174,0.177902,-0.409828,3.91287,0.17195,-0.0880839,3.9421,0.163123,0.0642431,3.96841,-0.0154595,-0.22784,3.94108,0.347755,-0.212485,3.87108,0.154834,0.660055,0.817672,0.166097
0.0998558,-1.63367,3.42353,0.092637,-1.60489,3.56989,0.0915221,-1.27053,3.72709,0.0991825,-0.733026,3.82596,0.244178,-1.59394,3.26607,0.302734,-1.58251,3.37227,0.292359,-1.23315,3.55293,0.263379,-0.725547,3.79213,0.183218,-0.73727,3.84843,0.177555,-0.407332,3.8912,0.172182,-0.0850481,3.91979,0.164044,0.0750575,3.94654,-0.0147057,-0.225273,3.91945,0.345931,-0.206737,3.84281,0.162528,0.658794,0.821387,0.167812
0.0904824,-1.6333,3.42281,0.0921221,-1.60435,3.56824,0.0927413,-1.27011,3.72418,0.0977789,-0.734195,3.80355,0.238083,-1.58075,3.24338,0.332862,-1.59565,3.29329,0.295241,-1.21062,3.51433,0.262803,-0.725764,3.77288,0.182201,-0.737719,3.82772,0.179035,-0.405144,3.86785,0.175967,-0.077552,3.89225,0.165223,0.0816367,3.92008,-0.0184793,-0.222931,3.89244,0.348188,-0.203672,3.82155,0.161961,0.667203,0.826491,0.168062
0.0894116,-1.6324,3.42298,0.0935104,-1.60695,3.56972,0.0974864,-1.31928,3.70151,0.0977873,-0.731324,3.7834,0.280643,-1.44362,3.2038,0.30206,-1.44318,3.35228,0.294439,-1.16092,3.50057,0.263467,-0.719533,3.74008,0.182486,-0.733201,3.80151,0.179397,-0.40427,3.84376,0.175948,-0.0797945,3.87134,0.171259,0.0867621,3.88296,-0.0143897,-0.221502,3.86493,0.351894,-0.197555,3.79671,0.167027,0.662067,0.824031,0.171654
