Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
1.53581,-1.03426,2.53776,1.5825,-1.14285,2.61777,1.4972,-0.871894,2.57872,1.52734,-0.633678,2.68452,2.01606,-1.16489,2.81005,1.97301,-1.09337,2.8453,1.81703,-0.885337,2.73554,1.6474,-0.644661,2.62984,1.60598,-0.646662,2.68832,1.61413,-0.347934,2.75513,1.61587,-0.0542583,2.80986,1.67667,0.038646,2.83196,1.49739,-0.209778,2.77022,1.76105,-0.234036,2.68974,0.113208,0.599397,0.713174,0.132374
1.39827,-0.985649,2.6598,1.2982,-0.964174,2.74806,1.58808,-0.988832,2.66068,1.53236,-0.635995,2.71315,1.54542,-1.0377,2.61661,1.63574,-1.14886,2.69547,1.82003,-0.920329,2.77598,1.65493,-0.646993,2.66496,1.6122,-0.648987,2.72035,1.6189,-0.347791,2.78979,1.61916,-0.0514823,2.84746,1.68618,0.0309518,2.84508,1.50116,-0.210882,2.79042,1.78257,-0.236103,2.7389,0.106271,0.605994,0.702159,0.132155
1.52013,-1.08748,2.71101,1.53597,-1.22156,2.79601,1.52625,-0.936496,2.71631,1.50847,-0.681801,2.75655,1.54393,-1.0675,2.67488,1.64304,-1.1852,2.71141,1.76752,-0.912988,2.77017,1.63465,-0.694321,2.70776,1.58989,-0.696085,2.76401,1.61069,-0.387462,2.82186,1.62347,-0.0759042,2.86269,1.68594,0.0217808,2.92248,1.50214,-0.216104,2.82447,1.80524,-0.247501,2.78432,0.13046,0.625782,0.749359,0.135865
1.51577,-1.08035,2.75875,1.5055,-1.20452,2.85191,1.54032,-0.915742,2.78107,1.49666,-0.677814,2.7946,1.6773,-1.07197,2.73686,1.65257,-1.2081,2.77015,1.75638,-0.922105,2.77832,1.62573,-0.694697,2.74825,1.57939,-0.694229,2.80358,1.61423,-0.383154,2.86005,1.64446,-0.0761667,2.91088,1.68766,0.0278015,2.95259,1.5122,-0.211989,2.86554,1.80764,-0.250877,2.81868,0.12007,0.630351,0.753391,0.138176
1.47984,-1.12513,2.84944,1.46136,-1.23814,2.95513,1.57118,-0.97766,2.8513,1.54493,-0.725943,2.83948,1.72243,-1.03039,2.32927,1.74443,-1.06056,2.46891,1.69962,-0.98709,2.82333,1.67691,-0.737805,2.79852,1.62958,-0.740349,2.85164,1.63944,-0.403846,2.91265,1.64265,-0.0728844,2.95987,1.68433,0.0319862,3.00997,1.50778,-0.220315,2.89514,1.82008,-0.251226,2.86746,0.123471,0.671215,0.798338,0.138704
1.52021,-1.15313,2.88281,1.55062,-1.27231,2.98746,1.538,-0.975417,2.92352,1.54043,-0.71905,2.8663,1.70214,-1.15389,2.74625,1.74031,-1.29568,2.77121,1.70573,-0.995193,2.83167,1.67404,-0.729573,2.8282,1.62587,-0.732732,2.88024,1.64303,-0.402773,2.93272,1.65266,-0.0768909,2.97681,1.68844,0.0297869,3.03489,1.50272,-0.229618,2.93811,1.83477,-0.256507,2.90808,0.126625,0.661193,0.78712,0.139337
1.54189,-1.17253,2.96193,1.57547,-1.30283,3.05183,1.54892,-1.00118,2.98407,1.51321,-0.74524,2.90597,1.71541,-1.18645,2.73866,1.76282,-1.32809,2.75199,1.72308,-1.0296,2.84987,1.65054,-0.758754,2.87284,1.60044,-0.760818,2.92329,1.62554,-0.401456,2.99561,1.64372,-0.048226,3.05462,1.70598,0.0367186,3.04477,1.50417,-0.234725,2.96061,1.85394,-0.272084,2.95717,0.105775,0.724542,0.815728,0.141918
1.54265,-1.20231,3.00483,1.59639,-1.30943,3.11014,1.54547,-1.01865,3.02723,1.51355,-0.762885,2.94153,1.7002,-1.17282,2.72711,1.73248,-1.30173,2.70827,1.72419,-1.03441,2.87929,1.65189,-0.761795,2.89356,1.60083,-0.770032,2.94993,1.62606,-0.41127,3.03025,1.64457,-0.0582852,3.09851,1.71019,0.0368643,3.11178,1.49086,-0.248684,3.0135,1.7662,-0.246588,2.9665,0.11634,0.73367,0.829984,0.146426
1.53966,-1.20168,3.03966,1.58796,-1.31993,3.1277,1.55381,-1.02212,3.06927,1.51779,-0.774388,2.96699,1.69566,-1.18509,2.74728,1.72129,-1.31882,2.74466,1.73825,-1.03807,2.88434,1.65652,-0.766715,2.93503,1.60477,-0.779424,2.98345,1.63181,-0.419041,3.0645,1.65223,-0.0643002,3.13234,1.70965,0.0346408,3.15139,1.49387,-0.260875,3.03728,1.76456,-0.244638,2.99937,0.115968,0.741377,0.831747,0.14257
1.53433,-1.20376,3.08702,1.5906,-1.28107,3.16061,1.54344,-1.00343,3.06339,1.5402,-0.739999,2.99958,1.68368,-1.15686,2.76362,1.69365,-1.28076,2.74757,1.72456,-1.00908,2.89088,1.66225,-0.740409,2.9632,1.61826,-0.747407,3.01401,1.63679,-0.41675,3.08436,1.65407,-0.0853215,3.15643,1.6756,0.0154618,3.2348,1.49844,-0.263762,3.07453,1.7269,-0.212639,3.0253,0.129471,0.682766,0.803296,0.127354
1.54198,-1.18949,3.13465,1.59088,-1.27552,3.20783,1.53276,-1.00761,3.09786,1.53753,-0.754469,3.02299,1.67845,-1.15984,2.76935,1.6837,-1.28299,2.75403,1.72328,-1.01485,2.89807,1.66231,-0.756537,2.99481,1.61651,-0.763043,3.03992,1.63617,-0.442188,3.12126,1.65016,-0.123995,3.18684,1.68836,-0.0206013,3.2334,1.50465,-0.272482,3.10218,1.75582,-0.260002,3.07144,0.119651,0.661081,0.774083,0.127939
1.51332,-1.25597,3.20234,1.59922,-1.29609,3.27289,1.53217,-1.04742,3.13416,1.54102,-0.788953,3.06879,1.67641,-1.16973,2.82662,1.67119,-1.29701,2.83748,1.75477,-1.0203,2.93352,1.65832,-0.776333,3.03924,1.61592,-0.790663,3.0852,1.6338,-0.453934,3.16065,1.64595,-0.124109,3.22732,1.68721,-0.0229813,3.25852,1.50502,-0.297926,3.14487,1.76014,-0.273293,3.10129,0.113588,0.69149,0.785148,0.121624
1.55176,-1.21094,3.21875,1.60205,-1.30658,3.3196,1.54614,-1.05514,3.18626,1.549,-0.810831,3.10397,1.66169,-1.16697,2.83443,1.6469,-1.28669,2.82745,1.73749,-1.02493,2.9493,1.66064,-0.785825,3.0742,1.62054,-0.805798,3.1192,1.6254,-0.47601,3.20383,1.62411,-0.148694,3.27202,1.68817,-0.0550031,3.31324,1.50449,-0.307308,3.17605,1.74902,-0.287806,3.13646,0.120751,0.687245,0.769416,0.118215
1.55792,-1.21941,3.248,1.60634,-1.31298,3.33167,1.56724,-1.04417,3.22744,1.54521,-0.813732,3.1273,1.65952,-1.16509,2.85449,1.63883,-1.28457,2.85346,1.74325,-1.03427,2.98809,1.65917,-0.807446,3.1225,1.61757,-0.817415,3.15544,1.62062,-0.506127,3.22693,1.61722,-0.206369,3.28801,1.67781,-0.0959961,3.34252,1.50909,-0.317881,3.22072,1.75552,-0.313309,3.18213,0.137203,0.632379,0.744929,0.114232
1.57004,-1.22412,3.28701,1.61012,-1.31869,3.38505,1.56555,-1.06568,3.25184,1.54253,-0.822018,3.1811,1.65683,-1.1715,2.87851,1.6423,-1.28907,2.8657,1.73475,-1.04479,3.01882,1.65893,-0.814853,3.15997,1.61625,-0.826853,3.20372,1.62459,-0.494057,3.28211,1.62756,-0.165509,3.34836,1.67562,-0.0672055,3.40108,1.49317,-0.332575,3.26534,1.76655,-0.3161,3.22728,0.121462,0.682795,0.785741,0.118519
1.56026,-1.25013,3.32173,1.53407,-1.34804,3.41863,1.62762,-1.08607,3.32639,1.54276,-0.839513,3.22766,1.63714,-1.16665,2.94414,1.58546,-1.27185,2.9514,1.75167,-1.04965,3.07132,1.65693,-0.825934,3.19854,1.61506,-0.839827,3.24161,1.62129,-0.512118,3.3034,1.62217,-0.190159,3.35958,1.65954,-0.0917689,3.42303,1.48831,-0.341624,3.30365,1.72702,-0.304258,3.26786,0.122895,0.66736,0.767724,0.118605
