Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
0.0263931,-0.459736,4.42236,0.11868,-0.512483,4.51721,-0.112952,-0.285897,4.55976,-0.163615,0.0350505,4.49363,0.0609519,-0.485439,4.49174,0.0937843,-0.602235,4.55366,-0.0235931,-0.304315,4.50975,-0.0235931,-0.304315,4.50975,
-0.0200124,0.0346012,4.5054,0.0294464,-0.387725,4.47566,0.12122,-0.48615,4.51299,-0.131281,-0.284814,4.55697,-0.161396,0.0376319,4.4912,0.0191629,-0.475899,4.4934,0.0225243,-0.607475,4.5606,0.0225243,-0.607475,4.5606,
0.00326043,-0.305378,4.45776,-0.0178655,0.0347088,4.50192,-0.148983,-0.47361,4.51875,-0.154048,-0.605745,4.57824,-0.157941,-0.287712,4.53267,-0.156581,0.0395663,4.48103,0.0196106,-0.481001,4.49537,0.0196106,-0.481001,4.49537,
0.0225864,-0.611088,4.56389,-0.000157795,-0.306555,4.47051,-0.012612,0.0322583,4.48528,-0.152393,-0.465922,4.52898,-0.154899,-0.591011,4.6087,-0.169203,-0.299054,4.48801,-0.151798,0.0323731,4.46513,-0.151798,0.0323731,4.46513,
0.0210951,-0.48248,4.50091,0.0247647,-0.610649,4.57189,-0.00600907,-0.312631,4.46856,-0.00951743,0.0232497,4.4724,-0.156901,-0.475664,4.49765,-0.165578,-0.602559,4.57003,-0.173643,-0.305311,4.4636,-0.173643,-0.305311,4.4636,
-0.151474,0.0275459,4.45753,0.0224914,-0.485537,4.49542,0.0269097,-0.614275,4.56225,-3.92345e-05,-0.319504,4.45263,-0.00991077,0.0156798,4.46141,-0.168893,-0.477979,4.46988,-0.173982,-0.604133,4.54432,-0.173982,-0.604133,4.54432,
-0.171935,-0.305885,4.44121,-0.146591,0.0277996,4.44695,0.0142919,-0.468142,4.52393,0.0125534,-0.586066,4.61756,0.0104494,-0.31519,4.46034,-0.00500402,0.0165848,4.44729,-0.178784,-0.483573,4.41017,-0.178784,-0.483573,4.41017,
-0.190841,-0.615084,4.45616,-0.163609,-0.307271,4.38791,-0.146199,0.0281718,4.43243,0.0163526,-0.472586,4.51392,0.0136859,-0.592422,4.6031,0.00988043,-0.312147,4.46291,-0.00540708,0.016579,4.43642,-0.00540708,0.016579,4.43642,
-0.184566,-0.485534,4.36853,-0.209817,-0.615395,4.41258,-0.157355,-0.306829,4.36152,-0.149126,0.0284874,4.42053,0.022239,-0.470123,4.50939,0.0235159,-0.588733,4.60091,0.0114512,-0.307078,4.46371,0.0114512,-0.307078,4.46371,
-0.00942591,0.017359,4.42026,-0.187045,-0.486425,4.35311,-0.217172,-0.614999,4.39689,-0.159549,-0.306514,4.35331,-0.145973,0.0279982,4.41202,0.0258246,-0.469712,4.50394,0.0309582,-0.588762,4.59368,0.0309582,-0.588762,4.59368,
