Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z ,Gait Type
-0.223696,-0.0317944,3.89477,-0.0767748,-0.558438,3.77289,-0.0728782,-0.657011,3.82216,-0.0763871,-0.335384,3.85909,-0.0846157,-0.0269802,3.88909,-0.199118,-0.505793,3.89583,-0.209526,-0.634072,3.96895,-0.209526,-0.634072,3.96895,Normal
-0.218258,-0.33598,3.85872,-0.220797,-0.0293872,3.85166,-0.0911386,-0.624583,3.76546,-0.00987036,-0.653427,3.84387,-0.0719996,-0.337179,3.8394,-0.082292,-0.0278128,3.85795,-0.211908,-0.504604,3.84102,-0.211908,-0.504604,3.84102,Normal
-0.227672,-0.629296,3.926,-0.207365,-0.338775,3.80017,-0.221286,-0.0276239,3.8253,-0.0869613,-0.627757,3.75253,-0.0391376,-0.651486,3.86811,-0.062665,-0.34074,3.79699,-0.080761,-0.0299481,3.82058,-0.080761,-0.0299481,3.82058,Normal
-0.211299,-0.512315,3.78099,-0.239067,-0.642996,3.84841,-0.219199,-0.343897,3.74167,-0.215274,-0.0310157,3.79151,-0.0881892,-0.625352,3.75131,-0.0499946,-0.651041,3.87264,-0.0641131,-0.342324,3.79211,-0.0641131,-0.342324,3.79211,Normal
-0.0771466,-0.0316206,3.79587,-0.171488,-0.522455,3.70436,-0.225441,-0.651008,3.74056,-0.21769,-0.337318,3.67707,-0.213236,-0.0316417,3.76564,-0.0737305,-0.565918,3.74609,-0.17327,-0.628493,3.80632,-0.17327,-0.628493,3.80632,Normal
-0.045961,-0.335729,3.77017,-0.0741667,-0.0317345,3.75834,-0.186734,-0.513,3.70496,-0.268635,-0.624996,3.74723,-0.20498,-0.338501,3.62584,-0.214655,-0.0278339,3.73289,-0.0603087,-0.611628,3.70434,-0.0603087,-0.611628,3.70434,Normal
-0.124122,-0.637077,3.81148,-0.0517894,-0.330712,3.75207,-0.0749643,-0.0305534,3.73023,-0.187695,-0.533059,3.65822,-0.261269,-0.645608,3.65724,-0.207799,-0.339714,3.58177,-0.215571,-0.0268507,3.70443,-0.215571,-0.0268507,3.70443,Normal
-0.199221,-0.460898,3.62486,-0.318063,-0.492699,3.59993,-0.0568038,-0.34442,3.73064,-0.0735524,-0.0301943,3.69706,-0.149513,-0.530252,3.62433,-0.209364,-0.644974,3.60752,-0.209746,-0.334159,3.53204,-0.209746,-0.334159,3.53204,Normal
-0.214827,-0.0311585,3.67473,-0.175377,-0.482667,3.6579,-0.281498,-0.570443,3.67746,-0.0664432,-0.329496,3.70264,-0.0748223,-0.0338481,3.66433,-0.220742,-0.526592,3.48855,-0.281031,-0.650549,3.49921,-0.281031,-0.650549,3.49921,Normal
-0.202947,-0.337455,3.49437,-0.215779,-0.0363739,3.63034,-0.164616,-0.492375,3.63547,-0.252919,-0.597724,3.65068,-0.072397,-0.329646,3.67066,-0.0742552,-0.0373453,3.6205,-0.199705,-0.507495,3.42307,-0.199705,-0.507495,3.42307,Normal
-0.161045,-0.63845,3.43424,-0.216392,-0.319532,3.45233,-0.220208,-0.0421158,3.60822,-0.0949404,-0.514482,3.65831,-0.111668,-0.650681,3.7138,-0.0737227,-0.335227,3.66625,-0.078168,-0.0455095,3.59491,-0.078168,-0.0455095,3.59491,Normal
-0.188772,-0.521244,3.34309,-0.182597,-0.657334,3.34841,-0.210534,-0.344472,3.43789,-0.223564,-0.0571902,3.55956,-0.0809604,-0.522069,3.65043,-0.0919509,-0.656369,3.71707,-0.0753682,-0.343422,3.65016,-0.0753682,-0.343422,3.65016,Normal
-0.0809283,-0.0578807,3.55491,-0.191162,-0.529785,3.30664,-0.228251,-0.663174,3.33913,-0.202885,-0.343685,3.39503,-0.230064,-0.0622713,3.52654,-0.0731379,-0.510128,3.65479,-0.0744173,-0.622981,3.76688,-0.0744173,-0.622981,3.76688,Normal
-0.08131,-0.349821,3.6073,-0.0866554,-0.0651293,3.52183,-0.190831,-0.532494,3.27712,-0.191033,-0.66869,3.28138,-0.203373,-0.358743,3.3847,-0.22885,-0.0719742,3.49212,-0.0687103,-0.535159,3.65846,-0.0687103,-0.535159,3.65846,Normal
-0.0765494,-0.649665,3.76818,-0.0764974,-0.375272,3.61072,-0.0855028,-0.07844,3.49125,-0.193812,-0.537298,3.24977,-0.192266,-0.674041,3.25699,-0.216991,-0.355156,3.31729,-0.232982,-0.0797574,3.45665,-0.232982,-0.0797574,3.45665,Normal
-0.0650039,-0.487794,3.62818,-0.0750453,-0.593924,3.74775,-0.0769157,-0.343029,3.55741,-0.0887114,-0.0889004,3.44963,-0.195925,-0.550206,3.20715,-0.196386,-0.689169,3.22846,-0.203344,-0.368854,3.28456,-0.203344,-0.368854,3.28456,Normal
-0.241144,-0.0931852,3.41385,-0.0537448,-0.518452,3.62401,-0.058738,-0.635379,3.72972,-0.0711252,-0.372259,3.55586,-0.0957367,-0.0960063,3.41714,-0.21559,-0.56764,3.18795,-0.259153,-0.69966,3.20476,-0.259153,-0.69966,3.20476,Normal
-0.203234,-0.385087,3.26623,-0.239573,-0.0997915,3.36646,-0.0635888,-0.493704,3.55376,-0.0608228,-0.598381,3.67526,-0.0760589,-0.353498,3.47818,-0.0952577,-0.105318,3.36398,-0.183907,-0.562673,3.13182,-0.183907,-0.562673,3.13182,Normal
-0.165463,-0.69584,3.12985,-0.202909,-0.389114,3.23749,-0.236435,-0.101793,3.33626,-0.0782887,-0.509853,3.51369,-0.0806505,-0.619393,3.62952,-0.083729,-0.371334,3.43569,-0.0921139,-0.11108,3.33868,-0.0921139,-0.11108,3.33868,Normal
-0.208205,-0.575662,3.13175,-0.228696,-0.713068,3.14865,-0.20666,-0.391331,3.18637,-0.234174,-0.101203,3.28112,-0.0748935,-0.505507,3.45808,-0.0883,-0.629067,3.55095,-0.0667177,-0.355531,3.39304,-0.0667177,-0.355531,3.39304,Normal
-0.0911644,-0.10399,3.27975,-0.20427,-0.575481,3.12654,-0.210527,-0.713904,3.1772,-0.214971,-0.391463,3.16217,-0.236288,-0.100505,3.24939,-0.0722456,-0.56036,3.42554,-0.0775507,-0.671347,3.5399,-0.0775507,-0.671347,3.5399,Normal
-0.0855155,-0.428196,3.34043,-0.0936945,-0.10462,3.25534,-0.229018,-0.580755,3.10862,-0.269663,-0.714214,3.1549,-0.214205,-0.396412,3.14337,-0.238029,-0.101354,3.20787,-0.0890517,-0.545056,3.30293,-0.0890517,-0.545056,3.30293,Normal
-0.089049,-0.675413,3.38313,-0.0947439,-0.392243,3.24011,-0.0982728,-0.104953,3.20668,-0.231129,-0.578392,3.10602,-0.267819,-0.710486,3.1673,-0.218278,-0.39627,3.12132,-0.242507,-0.0987696,3.16332,-0.242507,-0.0987696,3.16332,Normal
-0.0418178,-0.736447,3.17309,-0.0508814,-0.685642,3.30567,-0.0745607,-0.395912,3.1769,-0.100638,-0.101641,3.17605,-0.231485,-0.577957,3.09647,-0.269814,-0.711439,3.14764,-0.223216,-0.3959,3.1059,-0.223216,-0.3959,3.1059,Normal
-0.2424,-0.0976204,3.12536,-0.069932,-0.56665,3.14759,-0.0398685,-0.697444,3.21654,-0.0733201,-0.395695,3.11739,-0.101972,-0.0988151,3.1301,-0.209559,-0.576159,3.08011,-0.225348,-0.708364,3.1548,-0.225348,-0.708364,3.1548,Normal
-0.230697,-0.397037,3.07883,-0.243694,-0.0979755,3.09056,-0.0526739,-0.574057,3.07715,0.000469171,-0.701059,3.12867,-0.0780901,-0.397618,3.05972,-0.104029,-0.0982527,3.11117,-0.192208,-0.569861,3.06277,-0.192208,-0.569861,3.06277,Normal
-0.181262,-0.706369,3.12115,-0.231851,-0.393655,3.06553,-0.245931,-0.0962226,3.05713,-0.0403185,-0.566733,3.01911,-0.0311342,-0.70273,3.0817,-0.0647869,-0.394314,3.00154,-0.106784,-0.0963782,3.06578,-0.106784,-0.0963782,3.06578,Normal
