Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
0.00152931,-0.539086,4.2404,-0.000696631,-0.488568,4.36449,0.0233776,-0.186527,4.43031,-0.118449,0.0487405,4.5185,0.023591,-0.414872,4.32991,0.0136241,-0.539324,4.38146,0.0185235,-0.233008,4.42247,0.0185235,-0.233008,4.42247,
0.024323,0.0487393,4.52634,0.0256382,-0.353665,4.30657,0.0633606,-0.428084,4.31573,-0.0837294,-0.238124,4.53235,-0.121088,0.0456029,4.51142,0.0153017,-0.376184,4.32778,-0.00530542,-0.489975,4.34389,-0.00530542,-0.489975,4.34389,
0.138003,-0.21706,4.42899,0.0207832,0.0462695,4.51285,0.0149935,-0.325049,4.3304,0.0657295,-0.425818,4.32354,-0.0942554,-0.258891,4.54715,-0.117336,0.029913,4.49538,0.0155949,-0.383875,4.31341,0.0155949,-0.383875,4.31341,
-0.00322664,-0.500879,4.3253,0.151095,-0.238444,4.41692,0.0236772,0.033586,4.49658,0.00531404,-0.331636,4.32504,0.0619993,-0.43137,4.31767,-0.0970308,-0.273124,4.54809,-0.118854,0.0186907,4.48476,-0.118854,0.0186907,4.48476,
0.00016834,-0.461936,4.29759,-0.0199811,-0.581657,4.31073,0.0433949,-0.27477,4.34821,0.0211367,0.0203445,4.47722,-0.00226437,-0.322897,4.31264,0.0601614,-0.385796,4.29555,-0.107638,-0.251489,4.53432,-0.107638,-0.251489,4.53432,
-0.134362,0.0118073,4.44961,-0.00525601,-0.441277,4.39071,-0.0244077,-0.520934,4.51408,0.020409,-0.272038,4.34076,0.00923623,0.013437,4.45767,-0.0247356,-0.3508,4.29121,0.0332596,-0.40382,4.27862,0.0332596,-0.40382,4.27862,
-0.109699,-0.261324,4.52789,-0.137716,-0.000692228,4.42641,0.00325134,-0.47472,4.24055,-0.0108514,-0.597043,4.25337,0.0333341,-0.291373,4.3155,0.00228344,-0.00371073,4.42188,0.0553521,-0.441735,4.13407,0.0553521,-0.441735,4.13407,
0.054324,-0.391087,4.25731,-0.111164,-0.268788,4.50311,-0.145181,-0.00367012,4.4022,0.0248892,-0.483363,4.23266,0.0307714,-0.606626,4.24329,0.0421999,-0.298804,4.30902,-0.00380187,-0.00607557,4.40364,-0.00380187,-0.00607557,4.40364,
0.0247689,-0.36104,4.23908,0.0357901,-0.452445,4.24553,-0.112293,-0.27642,4.46711,-0.141059,-0.00326097,4.3747,0.0311496,-0.489964,4.19872,0.0396959,-0.61303,4.20741,0.0222768,-0.307398,4.28024,0.0222768,-0.307398,4.28024,
-5.19797e-05,-0.0077628,4.36779,-0.0336281,-0.480854,4.4462,-0.0504654,-0.538081,4.58687,-0.116436,-0.27965,4.43719,-0.138708,-0.00325126,4.34493,0.0293687,-0.493276,4.18535,0.0356756,-0.615438,4.18826,0.0356756,-0.615438,4.18826,
0.0332197,-0.309731,4.26186,0.00116302,-0.00830897,4.34783,-0.0345996,-0.477714,4.40833,-0.060986,-0.54429,4.54623,-0.119279,-0.288343,4.38882,-0.13536,-0.00378928,4.3071,0.0305862,-0.493242,4.20567,0.0305862,-0.493242,4.20567,
0.0330314,-0.622631,4.24632,0.0360228,-0.310546,4.24033,0.00508474,-0.00379051,4.30761,-0.0526693,-0.48603,4.35617,-0.0883551,-0.567741,4.48268,-0.116365,-0.296044,4.34196,-0.132102,-0.000594153,4.28221,-0.132102,-0.000594153,4.28221,
0.0390034,-0.488327,4.20138,0.0508159,-0.618412,4.24602,0.0340379,-0.307909,4.22105,0.00670763,0.00194546,4.28371,-0.0442709,-0.492468,4.29098,-0.0806053,-0.590583,4.39985,-0.125008,-0.305263,4.28919,-0.125008,-0.305263,4.28919,
