Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
0.0128983,-0.557515,4.43884,0.0323277,-0.454979,4.52728,0.0661035,-0.153202,4.50729,-0.174979,0.0597552,4.54705,0.00833439,-0.432732,4.48115,0.0211266,-0.556858,4.52398,-0.026146,-0.25626,4.51441,-0.026146,-0.25626,4.51441,
-0.038753,0.0642265,4.55882,-0.012001,-0.32959,4.46875,-0.073586,-0.272459,4.52065,0.144771,-0.00681252,4.52801,-0.177379,0.0595114,4.54507,-0.0092699,-0.438185,4.47458,-0.0159077,-0.549768,4.51468,-0.0159077,-0.549768,4.51468,
-0.118303,-0.254909,4.51079,-0.0429977,0.0647789,4.55026,0.0452042,-0.353271,4.45313,-0.0159686,-0.296319,4.50503,0.135082,-0.00523057,4.52382,-0.185269,0.0599985,4.539,-0.015584,-0.437468,4.48009,-0.015584,-0.437468,4.48009,
-0.0286901,-0.543605,4.52641,0.0514752,-0.246213,4.49771,-0.050724,0.0640511,4.54108,0.0152902,-0.35851,4.39591,0.0126842,-0.317341,4.50415,0.132585,-0.0307933,4.50737,-0.182452,0.0556832,4.52748,-0.182452,0.0556832,4.52748,
-0.0532529,-0.429331,4.46775,-0.104125,-0.520167,4.50177,0.0523633,-0.252898,4.4958,-0.0468862,0.0577697,4.53039,-0.0344901,-0.346343,4.46221,0.0414895,-0.329552,4.49523,0.138338,-0.0328709,4.50164,0.138338,-0.0328709,4.50164,
-0.179104,0.0495518,4.51852,0.058726,-0.458528,4.44748,0.106436,-0.556677,4.47006,-0.0282578,-0.276265,4.49745,-0.0412288,0.0503697,4.515,0.0301734,-0.371249,4.46046,0.105323,-0.454512,4.49527,0.105323,-0.454512,4.49527,
-0.139414,-0.26336,4.54835,-0.174135,0.0502975,4.4932,0.0555212,-0.390418,4.45044,0.135147,-0.46864,4.47065,-0.103884,-0.26915,4.51671,-0.0371421,0.0487511,4.50299,0.0196999,-0.361582,4.46152,0.0196999,-0.361582,4.46152,
0.0909164,-0.45065,4.50268,-0.158343,-0.26312,4.54451,-0.173193,0.0483988,4.47819,0.0132766,-0.464111,4.48169,0.0190403,-0.574141,4.54834,0.0173004,-0.277406,4.46113,-0.0344781,0.0473016,4.48569,-0.0344781,0.0473016,4.48569,
0.017607,-0.349109,4.45013,0.0976433,-0.432626,4.48968,-0.160837,-0.259672,4.54177,-0.167882,0.0482011,4.46409,0.0161081,-0.464273,4.47443,0.0220903,-0.576097,4.54124,0.0193176,-0.279692,4.45244,0.0193176,-0.279692,4.45244,
-0.029197,0.0456674,4.47536,0.0218512,-0.351482,4.45023,0.0954382,-0.441628,4.50017,-0.16748,-0.269217,4.52167,-0.162775,0.0429439,4.45348,0.0136051,-0.473353,4.48034,0.0174607,-0.585352,4.5522,0.0174607,-0.585352,4.5522,
