Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.0845603,-0.534112,4.50053,-0.18737,-0.602282,4.56311,-0.167061,-0.300723,4.5088,-0.130821,0.0211739,4.5186,0.0319088,-0.489156,4.51486,0.0296373,-0.614004,4.57501,0.0366751,-0.309441,4.53265,0.0366751,-0.309441,4.53265,
0.0109049,0.0096413,4.51473,-0.168486,-0.474575,4.48891,-0.176964,-0.599405,4.54592,-0.161895,-0.300795,4.48176,-0.125081,0.0213293,4.51072,0.0318923,-0.483782,4.52245,0.0281642,-0.607134,4.58684,0.0281642,-0.607134,4.58684,
0.0280259,-0.311188,4.51176,0.0166562,0.00991475,4.50684,-0.176357,-0.472985,4.45943,-0.194118,-0.597694,4.51227,-0.162644,-0.297985,4.45743,-0.120953,0.0238658,4.49673,0.0295275,-0.477657,4.52557,0.0295275,-0.477657,4.52557,
0.0233211,-0.600307,4.59208,0.0330671,-0.304929,4.51511,0.0204659,0.0140006,4.4961,-0.180877,-0.47177,4.42715,-0.199923,-0.597732,4.46973,-0.161909,-0.296786,4.42146,-0.122662,0.0250276,4.48531,-0.122662,0.0250276,4.48531,
0.0264622,-0.476262,4.52845,0.0184652,-0.597822,4.59888,0.0381919,-0.303077,4.51952,0.0188232,0.0129003,4.4853,-0.18361,-0.471837,4.39772,-0.203184,-0.597054,4.43662,-0.164971,-0.29583,4.40302,-0.164971,-0.29583,4.40302,
-0.122161,0.0223401,4.47517,0.0250576,-0.476143,4.52074,0.0192061,-0.597417,4.58944,0.0327475,-0.306592,4.50425,0.0192568,0.0083129,4.47468,-0.191132,-0.470689,4.35365,-0.210891,-0.595416,4.3893,-0.210891,-0.595416,4.3893,
-0.167335,-0.295006,4.36637,-0.122024,0.0178875,4.46136,0.0232928,-0.474468,4.51491,0.0173038,-0.594719,4.58484,0.0340094,-0.302971,4.50789,0.019414,0.00609424,4.46186,-0.188291,-0.468317,4.34628,-0.188291,-0.468317,4.34628,
-0.21151,-0.591488,4.3898,-0.167959,-0.296054,4.34429,-0.123194,0.0137044,4.44777,0.0214071,-0.470577,4.51442,0.0148962,-0.5859,4.59583,0.0201779,-0.302933,4.49691,0.0182961,0.00416907,4.44824,0.0182961,0.00416907,4.44824,
-0.164385,-0.473694,4.2854,-0.172603,-0.595371,4.29016,-0.167777,-0.293245,4.33135,-0.121992,0.0171634,4.42771,0.0113934,-0.463164,4.51526,-0.00327736,-0.576362,4.59895,0.0197702,-0.305769,4.47595,0.0197702,-0.305769,4.47595,
0.0185439,0.00213489,4.43248,-0.168987,-0.469113,4.28132,-0.174617,-0.593216,4.30102,-0.175607,-0.290544,4.31323,-0.120139,0.0161501,4.41494,0.0109018,-0.457102,4.51668,-0.00352665,-0.568078,4.60404,-0.00352665,-0.568078,4.60404,
0.0142594,-0.298265,4.48076,0.0204909,0.00289267,4.41887,-0.159997,-0.465755,4.25424,-0.169509,-0.589653,4.27848,-0.168935,-0.288084,4.29244,-0.120393,0.0168562,4.40201,0.00888816,-0.45987,4.50308,0.00888816,-0.45987,4.50308,
-0.00572406,-0.573774,4.58303,0.0138277,-0.29597,4.47996,0.0199269,0.00192742,4.41229,-0.183265,-0.431629,4.31626,-0.22015,-0.530055,4.41433,-0.15,-0.280852,4.27419,-0.12009,0.0172593,4.38608,-0.12009,0.0172593,4.38608,
0.0154638,-0.451284,4.4895,0.00648304,-0.567026,4.56523,0.0130117,-0.28568,4.47188,0.0200591,0.000902366,4.39825,-0.167006,-0.447579,4.26721,-0.193398,-0.563271,4.33567,-0.149135,-0.276001,4.27383,-0.149135,-0.276001,4.27383,
-0.121633,0.0186856,4.37049,0.0160404,-0.439768,4.48592,0.0045981,-0.549304,4.57409,0.0174651,-0.281623,4.45191,0.0184249,-0.000476785,4.38303,-0.172475,-0.442283,4.2557,-0.205744,-0.557217,4.32028,-0.205744,-0.557217,4.32028,
