Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.0620301,-0.44067,4.31743,-0.0300681,-0.55701,4.30009,-0.0494965,-0.259136,4.42656,-0.222736,0.0224698,4.53141,-0.0730357,-0.661566,4.18551,-0.072728,-0.615434,4.33579,-0.0516478,-0.302386,4.40975,-0.0516478,-0.302386,4.40975,
-0.0818084,0.0210146,4.5354,-0.108929,-0.285232,4.38638,-0.10713,-0.386215,4.36721,0.0325646,-0.106759,4.44274,-0.225799,0.0233935,4.52646,-0.0630712,-0.467924,4.31325,-0.0958497,-0.590875,4.3152,-0.0958497,-0.590875,4.3152,
-0.0749268,-0.279233,4.3888,-0.084912,0.0218386,4.53046,-0.074555,-0.42597,4.34192,-0.044468,-0.547686,4.34264,-0.0715621,-0.235702,4.399,-0.22517,0.0163858,4.51079,-0.0699197,-0.452049,4.29674,-0.0699197,-0.452049,4.29674,
-0.0667836,-0.577768,4.29707,-0.0909253,-0.267838,4.36679,-0.0840822,0.0146713,4.51473,-0.0964929,-0.404102,4.30332,-0.011713,-0.405175,4.31193,-0.181914,-0.246534,4.53664,-0.225759,0.0157052,4.47799,-0.225759,0.0157052,4.47799,
-0.023401,-0.444898,4.2794,0.0471715,-0.537776,4.27354,-0.0956438,-0.277003,4.39258,-0.0843898,0.0147505,4.48203,-0.0995278,-0.399891,4.27096,-0.012465,-0.415989,4.30607,-0.190537,-0.266284,4.53157,-0.190537,-0.266284,4.53157,
-0.225787,0.00487434,4.46445,-0.0434624,-0.479662,4.29567,-0.00305446,-0.596385,4.32592,-0.0538712,-0.284401,4.35647,-0.0841957,-0.000651069,4.46323,-0.0588159,-0.507406,4.19408,-0.0586668,-0.458886,4.3161,-0.0586668,-0.458886,4.3161,
-0.193795,-0.256389,4.52974,-0.223411,0.00985997,4.43375,-0.0355818,-0.482036,4.28953,0.00793137,-0.595929,4.31409,-0.0783614,-0.291694,4.34798,-0.0816333,0.00477955,4.43442,-0.172735,-0.414335,4.56993,-0.172735,-0.414335,4.56993,
-0.165851,-0.511191,4.67767,-0.180298,-0.27155,4.48281,-0.221791,0.00905624,4.40852,-0.0157607,-0.48395,4.26314,0.0262127,-0.600146,4.28947,-0.0629795,-0.298108,4.34142,-0.0801481,0.00516042,4.41371,-0.0801481,0.00516042,4.41371,
-0.168305,-0.424031,4.5538,-0.170895,-0.516224,4.66944,-0.186339,-0.274268,4.47589,-0.217567,0.00245796,4.37954,-0.0129162,-0.495868,4.23617,0.027937,-0.613924,4.26201,-0.0513904,-0.309488,4.32283,-0.0513904,-0.309488,4.32283,
-0.0756589,-0.00106322,4.383,-0.135833,-0.482371,4.45181,-0.171279,-0.534111,4.59674,-0.198493,-0.280444,4.41921,-0.212127,0.01208,4.34941,0.000242379,-0.487869,4.24376,0.0495674,-0.607844,4.28954,0.0495674,-0.607844,4.28954,
-0.0532251,-0.306619,4.29539,-0.0705079,0.00499129,4.35444,-0.162615,-0.450325,4.43658,-0.149975,-0.568415,4.52261,-0.193125,-0.28915,4.38763,-0.206942,0.00791122,4.32247,0.0115206,-0.487384,4.23825,0.0115206,-0.487384,4.23825,
