Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.0281473,-0.372097,4.47901,-0.0608797,-0.494421,4.50912,0.00386949,-0.191806,4.50868,-0.139469,0.0494634,4.53458,-0.011297,-0.397753,4.46858,-0.0122746,-0.521924,4.5268,-0.0112559,-0.213376,4.51258,-0.0112559,-0.213376,4.51258,
0.00133707,0.0451014,4.53072,0.0246669,-0.368023,4.48104,0.0637974,-0.48841,4.51467,-0.0404093,-0.197123,4.5096,-0.153287,0.0559053,4.52326,0.03315,-0.369778,4.4592,0.134459,-0.443688,4.48211,0.134459,-0.443688,4.48211,
-0.0727712,-0.214697,4.51934,-0.0139561,0.0533772,4.51571,0.00563011,-0.320736,4.46987,-0.00192495,-0.438451,4.53222,-0.216022,-0.216792,4.56372,-0.160364,0.0555816,4.51289,0.0288957,-0.4044,4.48499,0.0288957,-0.4044,4.48499,
0.0834369,-0.511472,4.55506,-0.0400796,-0.237927,4.49578,-0.019523,0.0524638,4.50839,0.0191196,-0.335666,4.46905,0.0960828,-0.434603,4.49779,-0.135079,-0.232427,4.53874,-0.160012,0.0569616,4.50133,-0.160012,0.0569616,4.50133,
0.0249143,-0.416377,4.49912,0.0539521,-0.529912,4.57775,-0.0168114,-0.24727,4.48936,-0.0193873,0.0512443,4.49746,0.0120096,-0.325003,4.4684,0.0738479,-0.432767,4.50794,-0.165429,-0.238802,4.54023,-0.165429,-0.238802,4.54023,
-0.162754,0.0545092,4.49527,0.0230277,-0.421226,4.49677,0.0482712,-0.537056,4.57227,-0.0117502,-0.252461,4.48214,-0.0227956,0.0506685,4.48881,0.0102501,-0.327259,4.46753,0.101396,-0.379725,4.49275,0.101396,-0.379725,4.49275,
-0.178944,-0.250378,4.52664,-0.161007,0.0473657,4.48565,0.0231555,-0.431483,4.48678,0.0397628,-0.552886,4.55125,-0.0167144,-0.260134,4.48248,-0.0208756,0.0452697,4.47537,0.00615319,-0.330194,4.45665,0.00615319,-0.330194,4.45665,
0.0982083,-0.41417,4.4904,-0.168408,-0.257137,4.52393,-0.159359,0.041995,4.47523,0.0131207,-0.434887,4.47765,0.0208035,-0.558351,4.53908,-0.00148209,-0.272692,4.43397,-0.0192419,0.0384843,4.46334,-0.0192419,0.0384843,4.46334,
-0.196266,-0.430574,4.52113,-0.216059,-0.550329,4.59227,-0.174419,-0.2653,4.48905,-0.153137,0.0416366,4.4637,0.011505,-0.44199,4.47519,0.0155821,-0.564656,4.54177,0.0103953,-0.274719,4.44336,0.0103953,-0.274719,4.44336,
-0.01417,0.0375385,4.45535,-0.184702,-0.44357,4.49825,-0.193124,-0.56767,4.56001,-0.177052,-0.269408,4.4855,-0.149314,0.0372803,4.45238,0.0147745,-0.436405,4.50546,0.0220084,-0.545025,4.60368,0.0220084,-0.545025,4.60368,
-0.00116708,-0.280047,4.45493,-0.00992951,0.0322731,4.4442,-0.187317,-0.440346,4.4946,-0.199552,-0.561694,4.5658,-0.169403,-0.269079,4.47547,-0.143041,0.0397467,4.44371,0.00772044,-0.443883,4.48024,0.00772044,-0.443883,4.48024,
0.0068867,-0.564403,4.5554,0.0240646,-0.279515,4.44278,-0.00753848,0.0340021,4.43883,-0.185701,-0.435314,4.48497,-0.195516,-0.558231,4.55225,-0.174163,-0.273591,4.43886,-0.142495,0.0409564,4.43374,-0.142495,0.0409564,4.43374,
0.0103829,-0.444987,4.46928,0.0132741,-0.568832,4.53454,0.0184853,-0.283231,4.4216,-0.00647672,0.0338084,4.43238,-0.178312,-0.450492,4.44513,-0.186542,-0.578012,4.48968,-0.169857,-0.272969,4.43904,-0.169857,-0.272969,4.43904,
-0.141587,0.0406662,4.42175,0.0223969,-0.438727,4.4798,0.0384233,-0.555943,4.56097,-0.0250331,-0.281312,4.43979,-0.00557481,0.0327944,4.42119,-0.170478,-0.423735,4.42735,-0.174479,-0.54685,4.4946,-0.174479,-0.54685,4.4946,
-0.222451,-0.267931,4.37598,-0.138912,0.0410748,4.41496,0.00380815,-0.44406,4.46567,-0.00152844,-0.565712,4.5377,0.0262228,-0.282397,4.42309,-0.00197475,0.0326384,4.4111,-0.174406,-0.437842,4.42263,-0.174406,-0.437842,4.42263,
-0.181625,-0.561651,4.48746,-0.201624,-0.272701,4.38435,-0.139746,0.0415699,4.40605,0.00858752,-0.449031,4.47231,0.00822265,-0.568393,4.55109,-0.0097334,-0.282285,4.44102,-0.00255918,0.0296507,4.40528,-0.00255918,0.0296507,4.40528,
-0.176476,-0.446794,4.40339,-0.184329,-0.571474,4.4654,-0.194141,-0.274587,4.38231,-0.136665,0.0405688,4.39457,0.0206843,-0.454273,4.44965,0.0328331,-0.57775,4.5148,-0.0163929,-0.283375,4.43635,-0.0163929,-0.283375,4.43635,
0.000409376,0.0274839,4.39515,-0.192101,-0.450493,4.3565,-0.209852,-0.577423,4.39965,-0.217009,-0.271281,4.35182,-0.133209,0.0393605,4.38423,0.0140672,-0.456723,4.45134,0.0183973,-0.579008,4.52245,0.0183973,-0.579008,4.52245,
-0.00878777,-0.287091,4.42816,0.0021251,0.0253839,4.39054,-0.191824,-0.449234,4.34849,-0.212994,-0.5746,4.39974,-0.220276,-0.270975,4.3416,-0.133367,0.0387671,4.37084,0.00364973,-0.454953,4.44327,0.00364973,-0.454953,4.44327,
0.000959673,-0.577308,4.51395,0.0147984,-0.290903,4.40424,0.00409909,0.0250665,4.38214,-0.18955,-0.44739,4.32045,-0.209086,-0.573618,4.36652,-0.230547,-0.268688,4.31827,-0.132788,0.0379137,4.36471,-0.132788,0.0379137,4.36471,
0.000743102,-0.420762,4.4958,-0.0039882,-0.509406,4.61913,0.00404412,-0.292793,4.40832,0.00405518,0.0218333,4.37857,-0.19732,-0.446043,4.30084,-0.216439,-0.571732,4.35101,-0.231909,-0.268847,4.293,-0.231909,-0.268847,4.293,
-0.133217,0.0367728,4.35299,-0.000199031,-0.452881,4.44557,-0.00232001,-0.571991,4.52475,0.0139388,-0.294211,4.39799,0.00426481,0.0203463,4.36876,-0.194257,-0.45329,4.30346,-0.208128,-0.575613,4.37193,-0.208128,-0.575613,4.37193,
-0.190862,-0.27754,4.29685,-0.133742,0.0349015,4.34319,-0.00399672,-0.427535,4.48318,-0.00560328,-0.516652,4.60607,0.00470367,-0.288944,4.40723,0.00458441,0.016705,4.35996,-0.184802,-0.462446,4.25767,-0.184802,-0.462446,4.25767,
-0.184831,-0.590358,4.29908,-0.190603,-0.279754,4.29802,-0.133873,0.0330784,4.33326,-0.01129,-0.441981,4.44794,-0.021238,-0.553323,4.54198,0.000478202,-0.295089,4.38296,0.00470781,0.0145956,4.35037,0.00470781,0.0145956,4.35037,
-0.176045,-0.4337,4.25154,-0.158813,-0.558001,4.30809,-0.236798,-0.263687,4.25635,-0.133411,0.0311185,4.32342,-0.048417,-0.415502,4.47062,-0.0948096,-0.495838,4.58953,0.000561767,-0.288182,4.39162,0.000561767,-0.288182,4.39162,
0.00362739,0.0120923,4.33981,-0.179415,-0.447011,4.24414,-0.177909,-0.57088,4.30902,-0.211967,-0.27308,4.23875,-0.136238,0.0303689,4.30857,-0.0331505,-0.436682,4.43861,-0.063016,-0.543079,4.53468,-0.063016,-0.543079,4.53468,
0.00480498,-0.289048,4.38169,0.00284871,0.0108413,4.32701,-0.179409,-0.453892,4.21893,-0.179495,-0.580765,4.26966,-0.212277,-0.274443,4.23999,-0.137387,0.0268352,4.29483,-0.0965344,-0.418062,4.41621,-0.0965344,-0.418062,4.41621,
-0.185977,-0.496903,4.49294,0.00522203,-0.28373,4.38418,0.00207351,0.00788893,4.3162,-0.200498,-0.459749,4.1587,-0.233877,-0.583626,4.1999,-0.195235,-0.275723,4.22901,-0.13772,0.0262089,4.28355,-0.13772,0.0262089,4.28355,
-0.0834874,-0.415453,4.42865,-0.164115,-0.493998,4.52016,-0.00102183,-0.280572,4.37613,0.00125523,0.00640526,4.3049,-0.202104,-0.460411,4.16467,-0.225276,-0.586805,4.20334,-0.190085,-0.277682,4.2141,-0.190085,-0.277682,4.2141,
-0.139138,0.0261277,4.27502,0.00404924,-0.441106,4.40691,0.00146011,-0.55651,4.49449,-0.027041,-0.287508,4.35346,-0.000291996,0.00480763,4.29737,-0.196087,-0.457819,4.17693,-0.208376,-0.583708,4.23304,-0.208376,-0.583708,4.23304,
-0.203756,-0.277921,4.18609,-0.142576,0.0239793,4.25769,-0.0165521,-0.444271,4.39837,-0.0294793,-0.557612,4.489,-0.0277846,-0.285394,4.3504,-0.00151676,0.0046636,4.28472,-0.188573,-0.462542,4.16412,-0.188573,-0.462542,4.16412,
-0.197081,-0.590678,4.20596,-0.203125,-0.281201,4.18125,-0.149704,0.0242199,4.23975,-0.0238575,-0.442699,4.3998,-0.0398249,-0.551056,4.49855,-0.018649,-0.287447,4.34644,-0.00874792,0.000949243,4.27155,-0.00874792,0.000949243,4.27155,
-0.186923,-0.467187,4.13014,-0.191759,-0.593099,4.19006,-0.205689,-0.28353,4.1651,-0.152728,0.0226821,4.22731,-0.0281078,-0.443436,4.39038,-0.0484409,-0.554213,4.48422,-0.0243321,-0.288641,4.33501,-0.0243321,-0.288641,4.33501,
-0.0128998,0.00097294,4.26075,-0.191753,-0.463677,4.12964,-0.196007,-0.591071,4.18245,-0.208545,-0.281627,4.15331,-0.157486,0.0221641,4.21512,-0.0831416,-0.413786,4.38544,-0.16384,-0.491024,4.47996,-0.16384,-0.491024,4.47996,
