Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.159291,-0.276054,4.04891,-0.156435,-0.0171536,4.12159,-0.0232732,-0.446467,4.25661,-0.0407118,-0.563087,4.34438,0.00362346,-0.275305,4.23327,-0.0101949,-0.0116022,4.1178,-0.161535,-0.465572,3.9889,-0.161535,-0.465572,3.9889,
-0.217021,-0.583954,4.02944,-0.150792,-0.274677,4.03359,-0.160866,-0.0171114,4.10597,-0.0225911,-0.435977,4.24464,-0.0158675,-0.521404,4.37401,-0.00753545,-0.28408,4.17802,-0.0149992,-0.0116226,4.09654,-0.0149992,-0.0116226,4.09654,
-0.160626,-0.46139,3.9722,-0.189459,-0.585436,4.03531,-0.157297,-0.272009,4.01799,-0.165118,-0.0139379,4.07196,-0.0374118,-0.461935,4.15944,-0.00991919,-0.564327,4.26706,-0.00786287,-0.280052,4.14086,-0.00786287,-0.280052,4.14086,
-0.0176953,-0.0103896,4.06873,-0.136186,-0.451275,4.00632,-0.159816,-0.578863,4.05548,-0.166131,-0.274272,3.98211,-0.173588,-0.0136915,4.04582,-0.0255824,-0.41543,4.11279,0.0485463,-0.479787,4.2285,0.0485463,-0.479787,4.2285,
-0.0779995,-0.265472,4.04566,-0.0293744,-0.0123269,4.03954,-0.123567,-0.457226,3.99185,-0.122885,-0.587903,4.02487,-0.170469,-0.280406,3.97857,-0.179582,-0.0156991,4.0148,-0.0582709,-0.45071,4.0442,-0.0582709,-0.45071,4.0442,
-0.0319765,-0.568227,4.12656,-0.0402254,-0.271474,4.0293,-0.0347297,-0.0134684,4.00952,-0.124469,-0.457855,3.98422,-0.136943,-0.587726,4.02705,-0.169439,-0.284495,3.95415,-0.183398,-0.0171417,3.99088,-0.183398,-0.0171417,3.99088,
-0.0233184,-0.453936,4.01943,-0.0200734,-0.580497,4.08449,-0.029184,-0.276383,4.00929,-0.038333,-0.0159388,3.98798,-0.137039,-0.465119,3.94749,-0.136329,-0.588388,4.02387,-0.169605,-0.285933,3.94816,-0.169605,-0.285933,3.94816,
-0.183505,-0.0179152,3.95485,-0.00460379,-0.460378,3.97041,-0.0111109,-0.589403,4.02401,-0.0237524,-0.285515,3.94808,-0.0363553,-0.0174532,3.95517,-0.141498,-0.469242,3.94067,-0.146725,-0.595315,4.00885,-0.146725,-0.595315,4.00885,
-0.17084,-0.290139,3.93859,-0.183066,-0.0196604,3.94306,0.00977016,-0.468199,3.9291,-0.00894865,-0.596164,3.98305,-0.0249862,-0.290186,3.91393,-0.0367307,-0.0176401,3.9434,-0.137003,-0.470244,3.92167,-0.137003,-0.470244,3.92167,
-0.113229,-0.596893,3.97729,-0.176717,-0.290367,3.93767,-0.187132,-0.0216045,3.91886,0.0106087,-0.473515,3.87083,0.011744,-0.604371,3.91398,-0.0214205,-0.292542,3.87849,-0.0415865,-0.0180147,3.91563,-0.0415865,-0.0180147,3.91563,
-0.133782,-0.470128,3.90913,-0.114753,-0.596683,3.9698,-0.178435,-0.290814,3.92601,-0.187886,-0.0205585,3.90396,-0.00559329,-0.457668,3.84917,-0.0403965,-0.571833,3.9354,0.0141526,-0.285306,3.82306,0.0141526,-0.285306,3.82306,
-0.0438807,-0.0172489,3.90386,-0.134475,-0.46705,3.90585,-0.130723,-0.589395,3.98532,-0.172377,-0.295788,3.88467,-0.186948,-0.0208637,3.87661,0.00207208,-0.456956,3.79661,-0.0273918,-0.580345,3.86257,-0.0273918,-0.580345,3.86257,
0.0213586,-0.280346,3.78337,-0.0423018,-0.0158956,3.88597,-0.134174,-0.469212,3.90249,-0.127228,-0.592518,3.97909,-0.17873,-0.297205,3.88702,-0.185103,-0.0238913,3.86135,-0.00599191,-0.468268,3.74078,-0.00599191,-0.468268,3.74078,
