Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.165014,-0.529565,4.42216,-0.126503,-0.658463,4.46362,-0.195143,-0.339035,4.46236,-0.245381,-0.00033,4.47106,-0.0462039,-0.519959,4.48237,-0.0775171,-0.647552,4.54828,-0.0665773,-0.341822,4.44633,-0.0665773,-0.341822,4.44633,
-0.100938,-0.000666266,4.46336,-0.14067,-0.509198,4.42474,-0.111821,-0.638285,4.47808,-0.212627,-0.332745,4.45025,-0.242465,0.00484519,4.45483,-0.0199006,-0.515466,4.3884,-0.0242178,-0.649418,4.42518,-0.0242178,-0.649418,4.42518,
-0.0539557,-0.332327,4.378,-0.0981529,0.00407062,4.45101,-0.149024,-0.499301,4.42028,-0.138723,-0.628068,4.4869,-0.222094,-0.320461,4.44712,-0.240518,0.0122637,4.42329,-0.0681343,-0.514539,4.33238,-0.0681343,-0.514539,4.33238,
-0.0240438,-0.639995,4.36135,-0.0544323,-0.322685,4.32283,-0.0970923,0.01037,4.4135,-0.145721,-0.49038,4.40992,-0.141311,-0.613463,4.49429,-0.226503,-0.312417,4.42606,-0.235935,0.0185608,4.39135,-0.235935,0.0185608,4.39135,
-0.0556432,-0.507693,4.25623,-0.0288354,-0.63727,4.27411,-0.0522056,-0.315257,4.29643,-0.0934509,0.0177308,4.38981,-0.170036,-0.487563,4.40908,-0.141478,-0.613506,4.48451,-0.228179,-0.314462,4.40922,-0.228179,-0.314462,4.40922,
-0.237949,0.016808,4.37393,-0.0619703,-0.516152,4.28056,0.0260995,-0.606697,4.26857,-0.0890787,-0.309089,4.22756,-0.095503,0.0166109,4.36454,-0.167198,-0.480516,4.39334,-0.133218,-0.607745,4.45726,-0.133218,-0.607745,4.45726,
-0.236409,-0.309624,4.39843,-0.236457,0.0170449,4.34579,-0.0781392,-0.472262,4.1537,-0.0718475,-0.604981,4.16107,-0.0271819,-0.284726,4.17296,-0.0943003,0.0173009,4.3528,-0.170119,-0.479471,4.38599,-0.170119,-0.479471,4.38599,
-0.141599,-0.605598,4.45644,-0.236417,-0.310703,4.37936,-0.239539,0.0154848,4.32851,-0.0652685,-0.482176,4.1408,-0.0467344,-0.615677,4.16709,-0.0431663,-0.293941,4.15916,-0.0975443,0.0128445,4.33154,-0.0975443,0.0128445,4.33154,
-0.176859,-0.468511,4.38703,-0.156127,-0.590098,4.47285,-0.235546,-0.304859,4.35883,-0.232228,0.015434,4.2905,-0.0608925,-0.490494,4.09204,-0.0383024,-0.620385,4.09918,-0.0459999,-0.299772,4.14042,-0.0459999,-0.299772,4.14042,
-0.0908284,0.0128348,4.30145,-0.172279,-0.472132,4.36737,-0.156589,-0.594809,4.45183,-0.233905,-0.306005,4.34552,-0.235703,0.01264,4.27328,-0.0932768,-0.492696,4.04808,-0.0976484,-0.625086,4.05858,-0.0976484,-0.625086,4.05858,
-0.0491453,-0.310648,4.11806,-0.0954201,0.00731954,4.26285,-0.190631,-0.473301,4.37994,-0.186162,-0.591108,4.47595,-0.233523,-0.311803,4.3371,-0.236927,-0.0064915,4.23418,-0.100437,-0.492804,4.0061,-0.100437,-0.492804,4.0061,
-0.104444,-0.620229,3.99862,-0.0451377,-0.319259,4.10591,-0.0945183,-0.000584185,4.24583,-0.189108,-0.478009,4.35249,-0.17825,-0.601082,4.4353,-0.231509,-0.321534,4.30106,-0.233096,-0.00953705,4.21586,-0.233096,-0.00953705,4.21586,
-0.0377358,-0.500238,3.98164,-0.0096073,-0.628823,3.99232,-0.00486965,-0.320856,4.09191,-0.0895398,-0.00594384,4.21562,-0.193143,-0.470947,4.34213,-0.185089,-0.588115,4.43737,-0.229968,-0.30978,4.29837,-0.229968,-0.30978,4.29837,
-0.233951,-0.0208598,4.16764,-0.0241933,-0.522046,3.97195,0.0275635,-0.645057,4.01113,-0.036421,-0.331614,4.0379,-0.0897625,-0.0159751,4.18092,-0.208914,-0.480182,4.31595,-0.200835,-0.60308,4.39908,-0.200835,-0.60308,4.39908,
-0.225919,-0.337742,4.23499,-0.236859,-0.0248964,4.15309,-0.0150151,-0.525376,3.93003,0.0418808,-0.64298,3.93756,-0.0524995,-0.341612,4.00202,-0.0973338,-0.0267753,4.15057,-0.203006,-0.476434,4.29474,-0.203006,-0.476434,4.29474,
-0.205867,-0.585547,4.40313,-0.234538,-0.325281,4.23227,-0.236044,-0.0362169,4.10237,-0.0831277,-0.539715,3.89692,-0.0837324,-0.670724,3.90336,-0.0790341,-0.357101,3.97828,-0.0912399,-0.0320588,4.10253,-0.0912399,-0.0320588,4.10253,
-0.200783,-0.478932,4.24993,-0.200625,-0.598428,4.34038,-0.221587,-0.340827,4.16442,-0.239835,-0.03696,4.07988,-0.0674699,-0.712699,3.71361,-0.0719144,-0.66252,3.8436,-0.0705814,-0.360626,3.96195,-0.0705814,-0.360626,3.96195,
-0.0981596,-0.0370963,4.08521,-0.200087,-0.476805,4.19433,-0.196885,-0.590467,4.29529,-0.209057,-0.33548,4.11478,-0.233721,-0.0364556,4.01846,-0.0696702,-0.580027,3.78194,-0.072442,-0.672668,3.85356,-0.072442,-0.672668,3.85356,
-0.0633395,-0.35975,3.93377,-0.0916752,-0.0348499,4.02396,-0.195664,-0.483022,4.14089,-0.205066,-0.596468,4.24206,-0.208946,-0.337123,4.07735,-0.232194,-0.0331013,3.99079,-0.0886333,-0.584003,3.85147,-0.0886333,-0.584003,3.85147,
-0.0544635,-0.66436,3.83882,-0.0487523,-0.351465,3.88225,-0.0901779,-0.0324631,3.99764,-0.117277,-0.540697,3.99053,-0.162741,-0.62524,4.11691,-0.209054,-0.344624,4.00848,-0.228767,-0.0350548,3.95057,-0.228767,-0.0350548,3.95057,
-0.0610635,-0.608181,3.81983,-0.0740217,-0.705978,3.82893,-0.0844315,-0.363173,3.88768,-0.0878143,-0.0345837,3.95281,-0.122875,-0.548336,3.94598,-0.188632,-0.633136,4.05955,-0.211678,-0.349602,3.9493,-0.211678,-0.349602,3.9493,
-0.225141,-0.0327743,3.91259,-0.0918458,-0.652845,3.79074,-0.0147775,-0.661251,3.88124,-0.0603864,-0.357063,3.8552,-0.0860127,-0.0330428,3.92501,-0.200651,-0.509935,3.91619,-0.212859,-0.641795,3.97642,-0.212859,-0.641795,3.97642,
-0.207765,-0.352167,3.87663,-0.217832,-0.0326532,3.87762,0.038672,-0.557319,3.89686,0.129729,-0.51189,4.0098,-0.077277,-0.360008,3.84668,-0.0784735,-0.0322045,3.87749,-0.181907,-0.524703,3.84318,-0.181907,-0.524703,3.84318,
-0.228891,-0.651763,3.88215,-0.205648,-0.351346,3.8153,-0.213156,-0.0335551,3.85538,-0.0305594,-0.611073,3.81455,0.0710963,-0.595786,3.92714,-0.0919429,-0.350114,3.8378,-0.0734641,-0.0339252,3.85218,-0.0734641,-0.0339252,3.85218,
