Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.0965483,-0.140867,2.61504,-0.0813449,0.20065,2.55547,-0.153492,0.204707,2.58626,-0.215064,-0.509579,2.63161,-0.241591,-0.445101,2.68841,-0.221871,-0.130174,2.50569,-0.220632,0.203098,2.52366,-0.136087,-0.515667,2.59652,-0.136087,-0.515667,2.59652,
-0.108726,-0.446716,2.64778,-0.0924914,-0.145594,2.6092,-0.0800758,0.199383,2.53135,-0.152462,0.204076,2.56295,-0.223048,-0.52602,2.55714,-0.209521,-0.459362,2.61221,-0.225909,-0.140322,2.45614,-0.218789,0.202276,2.50479,-0.218789,0.202276,2.50479,
-0.138274,-0.516605,2.59182,-0.113645,-0.451154,2.64383,-0.0904703,-0.152755,2.60183,-0.0775613,0.198024,2.51145,-0.150273,0.202987,2.54356,-0.223999,-0.546875,2.46289,-0.226076,-0.471208,2.51641,-0.222926,-0.148481,2.43507,-0.222926,-0.148481,2.43507,
-0.22203,0.197744,2.47641,-0.153198,-0.541016,2.54688,-0.127634,-0.466607,2.62639,-0.0885621,-0.165086,2.58822,-0.0802537,0.19505,2.48322,-0.153302,0.199209,2.51526,-0.231445,-0.551758,2.35547,-0.229761,-0.466455,2.43824,-0.229761,-0.466455,2.43824,
-0.221968,-0.152729,2.41207,-0.223761,0.195593,2.46645,-0.124422,-0.507116,2.5142,-0.127378,-0.466711,2.62635,-0.0897748,-0.167836,2.57392,-0.081825,0.192892,2.47352,-0.154986,0.197032,2.50543,-0.228554,-0.552106,2.26661,-0.228554,-0.552106,2.26661,
-0.221801,-0.479764,2.36786,-0.222783,-0.155694,2.39363,-0.226318,0.190806,2.43761,-0.124746,-0.508719,2.51528,-0.127666,-0.468249,2.6274,-0.0922092,-0.170747,2.55988,-0.0826493,0.187157,2.44395,-0.156734,0.191731,2.47623,-0.156734,0.191731,2.47623,
-0.224084,-0.539418,2.19842,-0.224485,-0.473747,2.30729,-0.224145,-0.156503,2.37401,-0.227487,0.184684,2.42171,-0.136144,-0.546973,2.57732,-0.132162,-0.478568,2.63042,-0.0914829,-0.176128,2.55085,-0.0852954,0.179446,2.42991,-0.0852954,0.179446,2.42991,
-0.158684,0.184734,2.46131,-0.221164,-0.526081,2.15989,-0.226364,-0.486571,2.27152,-0.228176,-0.164377,2.35724,-0.232119,0.179083,2.39533,-0.129178,-0.559463,2.56491,-0.141123,-0.497743,2.63379,-0.131345,-0.197888,2.47964,-0.131345,-0.197888,2.47964,
-0.0887662,0.172178,2.40594,-0.162806,0.178203,2.43609,-0.219996,-0.538327,2.1462,-0.225661,-0.482931,2.26358,-0.234705,-0.162074,2.3306,-0.234925,0.17441,2.3844,-0.133326,-0.551769,2.5731,-0.138342,-0.484222,2.62958,-0.138342,-0.484222,2.62958,
-0.134423,-0.198474,2.47285,-0.092998,0.166157,2.39463,-0.16637,0.172821,2.42498,-0.220612,-0.543897,2.14637,-0.226083,-0.484708,2.2607,-0.23445,-0.162114,2.32004,-0.23712,0.166005,2.36039,-0.135027,-0.553817,2.57784,-0.135027,-0.553817,2.57784,
-0.138381,-0.485044,2.62986,-0.145391,-0.201991,2.44187,-0.0964382,0.156405,2.36833,-0.169261,0.163631,2.39982,-0.219859,-0.559682,2.13659,-0.224291,-0.495618,2.24642,-0.235901,-0.195152,2.28497,-0.240416,0.159301,2.3275,-0.240416,0.159301,2.3275,
-0.134449,-0.550851,2.56797,-0.138292,-0.484895,2.62914,-0.14927,-0.204088,2.42264,-0.0996484,0.150667,2.34186,-0.172616,0.157346,2.37021,-0.21903,-0.580238,2.12285,-0.222159,-0.536031,2.21972,-0.236511,-0.197725,2.28198,-0.236511,-0.197725,2.28198,
-0.241458,0.15588,2.30487,-0.133919,-0.556887,2.56709,-0.141351,-0.490813,2.6272,-0.157858,-0.215891,2.40213,-0.100808,0.1466,2.31938,-0.173759,0.153552,2.34754,-0.222349,-0.546674,2.11413,-0.231026,-0.507619,2.22539,-0.231026,-0.507619,2.22539,
-0.24031,-0.17181,2.25957,-0.244134,0.15573,2.26767,-0.132992,-0.534275,2.56783,-0.120671,-0.455471,2.58884,-0.156846,-0.196187,2.36623,-0.103272,0.145806,2.27528,-0.176421,0.153133,2.30701,-0.22409,-0.545545,2.11341,-0.22409,-0.545545,2.11341,
-0.231298,-0.506631,2.22473,-0.240847,-0.173922,2.24761,-0.24551,0.156983,2.23685,-0.131643,-0.534996,2.56046,-0.117675,-0.459418,2.58262,-0.13084,-0.191053,2.36207,-0.103489,0.147493,2.25259,-0.177217,0.154673,2.28027,-0.177217,0.154673,2.28027,
-0.223358,-0.544644,2.1126,-0.231984,-0.505917,2.22384,-0.242004,-0.18017,2.22879,-0.2498,0.154808,2.20498,-0.125702,-0.538388,2.55827,-0.110833,-0.4667,2.5569,-0.143131,-0.193458,2.29209,-0.106913,0.146576,2.21656,-0.106913,0.146576,2.21656,
-0.181235,0.153088,2.24616,-0.225368,-0.537955,2.10837,-0.233909,-0.499155,2.21963,-0.241315,-0.185534,2.21159,-0.251805,0.148376,2.18098,-0.114319,-0.536133,2.50391,-0.106138,-0.460841,2.52152,-0.112157,-0.191165,2.25111,-0.112157,-0.191165,2.25111,
-0.108564,0.144914,2.19244,-0.183099,0.149052,2.22225,-0.223357,-0.53731,2.10748,-0.233641,-0.498712,2.21873,-0.238295,-0.192781,2.19533,-0.254517,0.144717,2.15475,-0.0937746,-0.483644,2.3667,-0.101915,-0.443584,2.4784,-0.101915,-0.443584,2.4784,
-0.112215,-0.1869,2.19642,-0.111045,0.145428,2.16731,-0.185775,0.147486,2.19648,-0.221621,-0.536058,2.10487,-0.234011,-0.49759,2.216,-0.245101,-0.18991,2.17331,-0.259967,0.140705,2.11707,-0.0861736,-0.470601,2.29015,-0.0861736,-0.470601,2.29015,
-0.0963759,-0.43069,2.40173,-0.112164,-0.160324,2.132,-0.115144,0.142267,2.13862,-0.190652,0.143857,2.16339,-0.222045,-0.536526,2.10328,-0.234172,-0.498124,2.21447,-0.250119,-0.191658,2.15896,-0.261532,0.138829,2.10014,-0.261532,0.138829,2.10014,
-0.0789763,-0.473782,2.23456,-0.0888326,-0.434114,2.34617,-0.112772,-0.156245,2.08414,-0.117958,0.141642,2.11281,-0.192889,0.142512,2.14209,-0.225178,-0.57333,2.16171,-0.233246,-0.500133,2.21284,-0.2546,-0.193682,2.1503,-0.2546,-0.193682,2.1503,
-0.263892,0.136012,2.0717,-0.0889893,-0.543945,2.29492,-0.0862658,-0.473338,2.3109,-0.112872,-0.173693,2.07213,-0.119684,0.141544,2.09355,-0.195029,0.141228,2.1182,-0.217385,-0.543744,2.09848,-0.230872,-0.505435,2.20946,-0.230872,-0.505435,2.20946,
-0.2578,-0.199577,2.1416,-0.266785,0.133997,2.05131,-0.100515,-0.570716,2.19354,-0.0957477,-0.502226,2.23696,-0.116522,-0.191527,2.03372,-0.123111,0.139854,2.06763,-0.198301,0.139282,2.09489,-0.216349,-0.548723,2.0946,-0.216349,-0.548723,2.0946,
-0.228298,-0.510671,2.20584,-0.262422,-0.202759,2.12937,-0.26804,0.132131,2.02251,-0.0982568,-0.583364,2.10232,-0.101067,-0.517366,2.15677,-0.117938,-0.200047,1.98997,-0.12355,0.137674,2.04359,-0.199184,0.13724,2.06849,-0.199184,0.13724,2.06849,
-0.214488,-0.59939,2.15803,-0.213536,-0.531943,2.20556,-0.263209,-0.229277,2.12088,-0.269458,0.12917,2.00505,-0.0900879,-0.594238,2.00781,-0.0975981,-0.525156,2.0629,-0.117446,-0.214011,1.96148,-0.12502,0.133734,2.02239,-0.12502,0.133734,2.02239,
-0.2007,0.133769,2.04915,-0.197586,-0.581988,2.07627,-0.209867,-0.544292,2.18721,-0.264025,-0.233244,2.11319,-0.268668,0.119658,1.98367,-0.0936279,-0.606934,1.9082,-0.101574,-0.529477,1.97685,-0.118661,-0.213207,1.92186,-0.118661,-0.213207,1.92186,
-0.124062,0.128023,1.99977,-0.199854,0.126061,2.02718,-0.229467,-0.590224,2.17885,-0.200083,-0.513317,2.16188,-0.262143,-0.240256,2.09633,-0.268436,0.112818,1.9673,-0.100911,-0.620627,1.79406,-0.111639,-0.553161,1.89655,-0.111639,-0.553161,1.89655,
-0.117731,-0.229505,1.89936,-0.124527,0.121791,1.98317,-0.200002,0.119402,2.01063,-0.225045,-0.588524,2.14901,-0.20199,-0.511286,2.15149,-0.261223,-0.236954,2.08813,-0.263451,0.106759,1.94175,-0.106856,-0.617457,1.71836,-0.106856,-0.617457,1.71836,
-0.113703,-0.551542,1.82223,-0.11898,-0.234263,1.87679,-0.119683,0.11473,1.95864,-0.195046,0.112753,1.98562,
