Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.130672,0.386109,4.04648,-0.201578,0.388952,4.07682,-0.224105,-0.348849,4.0821,-0.224147,-0.276476,4.15298,-0.258924,0.0271414,4.10355,-0.269433,0.384885,4.02048,-0.11676,-0.360107,3.9668,-0.110256,-0.277764,4.03841,-0.110256,-0.277764,4.03841,
-0.140147,0.0393545,3.98147,-0.130905,0.382472,4.03086,-0.20192,0.387063,4.06103,-0.227885,-0.348278,4.08536,-0.228016,-0.266412,4.15002,-0.264555,0.0252276,4.09866,-0.270562,0.378301,3.99802,-0.107371,-0.325606,3.8351,-0.107371,-0.325606,3.8351,
-0.115572,-0.278062,3.95247,-0.144096,0.0473697,3.95288,-0.131943,0.379707,4.00767,-0.203024,0.382355,4.03817,-0.229872,-0.350607,4.08468,-0.232802,-0.277821,4.15305,-0.268268,0.0172275,4.08849,-0.267331,0.368499,3.97904,-0.267331,0.368499,3.97904,
-0.109923,-0.370007,3.78913,-0.110171,-0.278845,3.88412,-0.129213,0.038696,3.89961,-0.129481,0.374287,3.99042,-0.20018,0.374782,4.02009,-0.237976,-0.349847,4.08289,-0.231492,-0.278176,4.15104,-0.269451,0.0167996,4.08238,-0.269451,0.0167996,4.08238,
-0.265761,0.363423,3.95981,-0.116272,-0.348877,3.73047,-0.109571,-0.275191,3.82164,-0.126637,0.0432915,3.88585,-0.127884,0.367975,3.96823,-0.198575,0.368992,3.99933,-0.234379,-0.347788,4.08074,-0.232069,-0.276525,4.15042,-0.232069,-0.276525,4.15042,
-0.270799,0.0130681,4.07014,-0.262802,0.355649,3.93931,-0.119019,-0.352783,3.66797,-0.112658,-0.274982,3.77386,-0.124768,0.0234459,3.85878,-0.123496,0.363341,3.94641,-0.194895,0.362736,3.97825,-0.240515,-0.35204,4.08265,-0.240515,-0.35204,4.08265,
-0.236177,-0.279526,4.14826,-0.271602,0.010905,4.05064,-0.270188,0.348525,3.90495,-0.122078,-0.346207,3.63673,-0.115823,-0.265939,3.74337,-0.126689,0.0232907,3.83646,-0.131399,0.356915,3.91815,-0.202645,0.355905,3.94694,-0.202645,0.355905,3.94694,
-0.244164,-0.356061,4.09671,-0.2378,-0.280033,4.14985,-0.270854,0.0082532,4.04563,-0.264943,0.338901,3.88762,-0.122427,-0.346422,3.6354,-0.116571,-0.266132,3.7414,-0.128941,0.0358481,3.82253,-0.125076,0.35176,3.89535,-0.125076,0.35176,3.89535,
-0.196849,0.348414,3.92708,-0.24342,-0.357596,4.09509,-0.239574,-0.281641,4.14724,-0.268917,0.00765525,4.01267,-0.269486,0.33262,3.85471,-0.129644,-0.363444,3.62818,-0.121651,-0.282042,3.72391,-0.127915,0.0129289,3.77899,-0.127915,0.0129289,3.77899,
-0.130975,0.338317,3.85843,-0.202068,0.338648,3.89194,-0.242996,-0.357513,4.07348,-0.240096,-0.286562,4.14136,-0.264515,0.00846275,3.9822,-0.264679,0.325554,3.82368,-0.134862,-0.371489,3.61043,-0.123654,-0.290442,3.71396,-0.123654,-0.290442,3.71396,
-0.127462,0.011681,3.77242,-0.127336,0.337896,3.83868,-0.197848,0.335179,3.867,-0.243855,-0.361793,4.07367,-0.240232,-0.287606,4.13259,-0.26148,0.0044898,3.96144,-0.265779,0.329542,3.79819,-0.137637,-0.383628,3.60997,-0.137637,-0.383628,3.60997,
-0.121722,-0.29857,3.70678,-0.125532,0.0121896,3.75972,-0.126773,0.335792,3.81249,-0.198114,0.335888,3.84073,-0.252648,-0.359244,4.08811,-0.238164,-0.284404,4.10706,-0.258427,0.0122682,3.9016,-0.263625,0.327442,3.76088,-0.263625,0.327442,3.76088,
-0.138191,-0.387195,3.6064,-0.120431,-0.298627,3.69717,-0.120155,0.00811522,3.73843,-0.125341,0.330541,3.76918,-0.196296,0.332154,3.80049,-0.259588,-0.364204,4.05557,-0.243277,-0.287925,4.10137,-0.238704,-0.0015975,3.84695,-0.238704,-0.0015975,3.84695,
-0.25344,0.328934,3.72606,-0.137526,-0.391708,3.60339,-0.117731,-0.300346,3.68863,-0.121374,0.0084363,3.72254,-0.118056,0.335679,3.74385,-0.187577,0.335626,3.77061,-0.247831,-0.370402,4.02545,-0.245354,-0.294185,4.0753,-0.245354,-0.294185,4.0753,
-0.240582,-0.0122905,3.81762,-0.252538,0.328579,3.70278,-0.136029,-0.385266,3.60631,-0.117957,-0.298972,3.68648,-0.122906,0.00826094,3.71095,-0.115755,0.330619,3.71297,-0.185959,0.332941,3.74336,-0.250618,-0.357934,4.00483,-0.250618,-0.357934,4.00483,
-0.247792,-0.267503,4.02831,-0.247431,-0.0025008,3.74928,-0.243785,0.329137,3.66584,-0.110811,-0.344945,3.56642,-0.117182,-0.299735,3.68175,-0.124664,0.00563314,3.68781,-0.105991,0.335348,3.67646,-0.176579,0.335472,3.70656,-0.176579,0.335472,3.70656,
-0.244507,-0.351807,3.94922,-0.251824,-0.259198,3.97147,-0.249955,0.000673137,3.68677,-0.241002,0.328833,3.63613,-0.11121,-0.347169,3.55956,-0.118511,-0.30213,3.67461,-0.128609,0.00295847,3.67322,-0.104195,0.333377,3.65067,-0.104195,0.333377,3.65067,
-0.174292,0.334298,3.67886,-0.249965,-0.351508,3.93127,-0.251835,-0.264603,3.93674,-0.250948,0.0012652,3.65623,-0.235346,0.327231,3.61594,-0.138621,-0.391671,3.61108,-0.118661,-0.308387,3.67195,-0.131242,-0.00247771,3.66096,-0.131242,-0.00247771,3.66096,
-0.0977682,0.329113,3.62372,-0.168184,0.331455,3.65536,-0.253662,-0.348633,3.85547,-0.256934,-0.265182,3.8675,-0.244104,0.0056806,3.59107,-0.233797,0.32626,3.58093,-0.139752,-0.388872,3.61163,-0.119684,-0.307921,3.66956,-0.119684,-0.307921,3.66956,
-0.128391,-0.0129691,3.63976,-0.0965242,0.327468,3.59125,-0.166788,0.330094,3.62143,-0.256855,-0.362787,3.75774,-0.255245,-0.288012,3.80797,-0.242297,0.00253211,3.55723,-0.228959,0.328974,3.55739,-0.161868,-0.363335,3.64881,-0.161868,-0.363335,3.64881,
